Ouery_Cleaned,Answer
suking pest, THAIMETHOZAM 5 GM/PUMP AND ACEFET 15 GRAM OR ACETAMIPRID 10 GRAM
red mite whitefly problem, spray oberon 15 ml./pump.
leaf problem, contact agriculture officer.
mites, spray oomytics
angular leaf spot problem, spray streptocyclin 1 gram + blue copper 60 gram 10 liter water.
fungus problm, spray copper oxycholoride 40 gm/pump
informations, Possibilities of rain in next 5 days
insect problem, monocrotophose 25 ml+aecifet 15 gm/pump
syucking pest, sprey diemithoat 15 ml/pump
leaf reaction, sprey urea 100 gm/pump
kukdva, 100 gram urea in pump
white fly informaiton, Thiamethoxam 25% WG / 70% WS (Actara) 6 gram/pump spray
guar molo,sugg to roger 30 mili/pamp sprey
kissan credit card,visit nearest nationalized bank.
irrigation application time,8-10 day interval irrigation applye
termite nematod white grub informationsuggested chlorpyrifos ec ml pump drenching ml vigha water treatment ec, Chlorpyrifos 50% + Cypermethrin 5% (Mix availabe in market) 250 ml/vigha water treatment
soil borne larva, spray choloropyriphos 30 ml/pump
leaf effect, spey urea 100 gm/pump
leafmanor,sugg to nim oil 40 mili/pamp spre
yelloeing, APPLY AMONIUM SULPHATE 10 KG/VINGHA
growth drip irrigation, contact agronomist of drip irrigation company.
khpedi,FURADAN POWDER
sowing season,at june-july
leaf become yellow colour, do not apply irrigation 
agriculture application, visit anand agricultural university.
abt ion variety,"Gujarat cotton hybrids-6,8"
fasal con,sugg to 1800 10 28 767
folidon powder quantity, apply 20-25 kg/hacter with fertilizer
melabug, sperey prophenophos 30 ml/pump
spodoptera, spray quinalphos 30 ml.per pump.
tractor subcidi, contact gram sevak.
open field weed, use round up weedicide in open field.
chemical, visit agro centre.
subcidy tractor, 45000 or 40%
whitegrub protection, Chlorpyrifos 20% e.c. 25 ml/10 kg seeds [ for termite and white grub protection ]
mealy bug informaitonsuggested,Triazophos 40 EC 30 ml/pump spray [ suitable for young
larvae white fly, Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]  Cypermethrin 10EC 15 ml/pump spray
white fly sucking pests problem, Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spray Imidacloprid 17.8% s.l. 5 ml/pump  spray
fungus problem root crops, Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
reaction pesticides weedicides, Urea 100 gram/pump spray
sucking peest, Profenofos 50% EC 25 ml/pump spray
larvae ec, Cypermethrin 25EC 10 ml/pump spray
heliothese pink ball warm cottonask sucking pests problem, Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage Imidacloprid 17.8% s.l. 5 ml/pump  spray
cottan crops, Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
sucking pest informaiton, Profenofos 50% EC 25 ml/pump spray
termite white grub, Chlorpyrifos 20 EC 30 ml/pump drenching or 250 ml/vigha water treatment
fungus problem cropask sucking pest, Mancozeb (M-45) 75% W.P. 35 gram/pump spray  Imidacloprid 17.8% s.l. 5 ml/pump  spray
sucking pests problem heliothese pink ball warm, Profenofos 50% EC 25 ml/pump spray Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
fertilizzer, need for the crop
abpout, Quinalphos 25 EC 30 ml/pump spray
fertilizetr doseask fungus problem, Urea (46-00-00) 8-10 kg/ha as top dressing application Mancozeb (M-45) 75% W.P. 35 gram/pump spray
cottan,  Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young
sucking pests problem fungus problem, Profenofos 50% EC 25 ml/pump spray Carbendazim (Bavistin) 50% W.P. 20 gram/pump spray
heliothese pink ball warm cottonask general, Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stageAsk about general information
fungas problem, Mancozeb (M-45) 75% W.P. 35 gram/pump spray
pink,BOLLWORM Deltamethrin  AND Triazophos 25 ml/pump spray
angular leaf spot cottonsuggested,Streptocyclin 1 gm + coper oxichloride (BlueCopper) 20 gm / pump spray
mealy bug informait, Triazophos 40 EC 40 ml/pump spray [ suitable for young crop ]
white fly white fly, Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]  Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spray
heliothese pink ball warm fungus problem, Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stagemancozeb 75%w.p. 35 gm/pump
larva castor,I SUGEGSTED TO SPRAY QUINALPHOS 25 ML/PUMP FOR  LARVA IN CASTOR
larva problem crops, DDVP 5 ml + Quinalphos 25 ml /pump spray
red, Magnesium sulphate 100 gm/pump spray
larvae informationsuggested ddvp ml cypermethrin ml pump spray, DDVP 5 ml + Cypermethrin 15 ml / pump spray ???????? 5 ???? + ???????????? 15 ???? / ??? ?????? ????? ?????? ????
mealy bug informaitonin crops, Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
yellowing fertilizer doseask drop problem, 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray 19-19-19 fertilizer 100 gm/pump spray Urea 100 gram/pump spray
pink boll worm inforation,sugg to thaayodikaarb 75 wp 45 gram ( larvin ) / pamp spre
drop, 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
red leaf problem cottonask yellowing fertilizer dose, Magnesium sulphate 100 gm/pump spray Urea 100 gram/pump spray  19-19-19 fertilizer 100 gm/pump spray
fenugreek methi,Fenugreek (Methi)Guj. Methi - 1Oct-September20-25 kg/ha30 X 10 Cm110-120 Days2000 /ha
redness, use magnesium sulphate 
yellowing seedlings, mmonium sulphate
flowwering, SPRAY BOOM FLOWER 30 GM /PUMP 
flower drop problemask sucking pests problem,toboom flower 15 ml/pump spray Profenofos 50% EC 25 ml/pump spray
fungus problem rootsuggested,(Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
fungus problem cropask sucking pests problem, Mancozeb (M-45) 75% W.P. 35 gram/pump spray  Profenofos 50% EC 25 ml/pump spray
fungus problem rootask sucking pests problem,copperoxychloride(blue copper)40gm/pump drenching or 250gm/vigha with water treatment Profenofos 50% EC 25 ml/pump spray
fungus problem rootask red leaf problem, CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment Magnesium sulphate 100 gm/pump spray
fertiluzer,with drip
abot suking pest, Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips]
larvae sucking pests problem, Quinalphos 25 EC 25 ml/pump spray Imidacloprid 17.8% s.l. 5 ml/pump  spray
kisan call center registrationrequested activation market,Your Registration has been done in kisan call  price information & Advisory message servicesYour request for market price activation and advisor messages has been submitedenter
fungus problem rootand whitefly problem,copperoxychloride(blue copper)40gm/pump drenching or 250gm/vigha with water treatment???????????? 20 SP (??????/?????) 5 ?????/??? ?????? ????
sucking pests problem fungus problem root, Profenofos 50% EC 25 ml/pump spray Fipronil 5 SC 25ml/pump spray [Final Control] CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
phosphate fertilizer, use phosphate culture
fungus problem rootask drop problem, CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
suckingf pest, Profenofos 50% EC 25 ml/pump spray
sucking pests problem flower drop problem, Profenofos 50% EC 25 ml/pump spraytoboom flower 15 ml/pump spray
larvae sucking pestsask fungus problem root, profenofos 40% + cypermethrin 4% (mix available in market) 15 ml/pump spray CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
white fly flower drop problemsuggested boom flower nitrobenzene ml pump spray, Profenofos 50% EC 25 ml/pump sprayAsk about Flower Drop problem Boom Flower (Nitrobenzene) 15 ml/pump spray
fungus problem root fertilizer apply, CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatmentfertilizer 19:19:19
sucking pests problem cropes, Monocrotophos 36% sc/ec/sl 20ml/pump spray
fungush problem, tricoderma viridi treatment
pink boll worm sucking pest, Quinalphos 25 EC 30 ml/pump spraylarvae + sucking pest
yellowish leaves, spray 100 gm heerakasi + 10 gm limbuna ful /pump 
fungus problem cropask fungus problem root,mancozeb 75%w.p. 35 gm/pump CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
aask sucking pest, Imidacloprid 17.8% s.l. 5 ml/pump  spray
fungus problem rootask enlarge fruit size, CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment 13-00-45 fertilizer 100 gram/pump spray
red leaf problem cottonask fungus problem, Magnesium sulphate 100 gm/pump spray Mancozeb (M-45) 75% W.P. 35 gram/pump spray
red leaf problem cottonsuggested,Magnesium sulphate 100 gm/pump spray
red leaf problem cottonask sucking pests problem, Magnesium sulphate 100 gm/pump spray Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]
sucing pest red leaf problem, Profenofos 50% EC 25 ml/pump spray Magnesium sulphate 100 gm/pump spray
wilt yellowing, Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment 19-19-19 fertilizer 100 gm/pump spray
yellowing fertilizer dosesuggested fertilizer gm pump spray, Urea 100 gram/pump spray
drop problemask heliothese pink ball warm, 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
mite redmite ant fungus problem root, Dicofol 18.5 EC 25 ml/pump spray CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
fungus problem rootask flower drop problem, CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment Boom Flower (Nitrobenzene) 15 ml/pump spray
red leaf problem cottonask white fly, Magnesium sulphate 100 gm/pump spray Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
fungus problem cropask drop problem, Mancozeb (M-45) 75% W.P. 35 gram/pump spray  5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
heliothese pink ball warm groundnut, Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
drop problemask larvae, 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray Quinalphos 25 EC 30 ml/pump spray
sucking past, spray dimethoat 15 ml/pump 
heliothese pink ball warm cottonstage, Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering
white fly mite redmite ant, Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]  Dicofol 18.5 EC 25 ml/pump spray
sucking pests problem fungus problem rootask red leaf problem, Fipronil 5 SC 25ml/pump spray [Final Control] Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips] CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment Magnesium sulphate 100 gm/pump spray
heliothese pink ball warm cottonask mealy bug informaiton, Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
larvae sucking pestsask purple leaf blochh onion," profenofos 40% + cypermethrin 4%  15 ml/pump spray,  Carbendazim (Bavistin) 50% W.P. 20 gram/pump spray"
aask larva cottonk, SPRAY QUINALPHOS 25 ML/PUMP 
larvae sucking pests, profenofos 40% + cypermethrin 4% (mix available in market) 15 ml/pump spray
fungus problem rootcotton, Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
variety sowing timeask seedrate spacingask durationask yield,"Sankar- 8, 10 Bijdhan-2 June-July2.5-4 kg/ha120 X 60 Cm170-200 Days2500-4000 /haDeshi: Deshi - 7, 9, Guj. Cot. 11June-July10-15 kg/ha60 X 90 Cm210-220 Days1000-1500 /ha"
yellowing paddy seedlings, Magnesium sulphate 250 gm/pump spray kyar dith
larvae sucking pests cropes, profenofos 40% + cypermethrin 4% (mix available in market) 15 ml/pump spray
larvae cropes, Cypermethrin 10EC 15 ml/pump spray
heliothese pink ball warm cottonask increase flower initiation, Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage Boom Flower (Nitrobenzene) 15 ml/pump spray
castor,"GCH-7, 4, 5, 1"
irrigation, as per requiremwnt
flower dropin crops larvae, Boom Flower (Nitrobenzene) 15 ml/pump spray Coragen 18.5 SC 5ml/pump spray [ final solution ]
wilt inn, drenching blue copper 40 gm /pump
mealy bug crops increase flowering tomato, Profenofos 50% EC 25 ml/pump sAsk for increase the flower initiation in crop  Boom Flower (Nitrobenzene) 15 ml/pump spraypray
larvae informationsuggested cypermethrin ec ml pump spray ec, Cypermethrin 10EC 15 ml/pump spray
fungus problem rootask red leaf problem cottonask increase flower initiation, CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment Magnesium sulphate 100 gm/pump spray Boom Flower (Nitrobenzene) 15 ml/pump spray
yellowing problem, 19-19-19 fertilizer 100 gm/pump spray
pink bolloworm, DDVP 5 ml + Quinalphos 25 ml /pump spray
yellowish, ammonium sulphate fertilizer
yellowing fertilizer doseask angular leaf spot, 19-19-19 fertilizer 100 gm/pump spray Streptocyclin 1 gm + coper oxichloride (BlueCopper) 20 gm / pump spray
sucking nd larvae, profenofos 40% + cypermethrin 4% (mix available in market) 15 ml/pump spray
yellowing fertilizer dose enlarge fruit size, Urea 100 gram/pump spray 19-19-19 fertilizer 100 gm/pump spray Potash fertilizer 100 gram/pump spray 13-00-45 fertilizer 100 gram/pump spray
flower dropsuggested,Boom Flower (Nitrobenzene) 15 ml/pump spray
abot, CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
flower drop problemsuggested,Boom Flower (Nitrobenzene) 15 ml/pump spray
sucking pests problem larva problem, Profenofos 50% EC 25 ml/pump spray Quinalphos 25 EC 30 ml/pump spray
white fly fungus problem, Profenofos 50% EC 25 ml/pump spray Mancozeb (M-45) 75% W.P. 35 gram/pump spray
fungus problem rootin cropes, CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
fungus problem root cropes, Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
fungus problem rootdhana varity, CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment Urea 100 gram/pump spraygujrat dhana 1
cpoton, Quinalphos 25% e.c. 25 ml/10 kg seeds [ for termite and white grub protection ]
sucking pest fungus problem,mancozeb 75%w.p. 35 gm/pump
flower drop problem red leaf problem," Boom Flower (Nitrobenzene) 15 ml/pump spray  ,  Magnesium sulphate 100 gm/pump spray"
sucking pests problem sucking pests problem fungus problem root, Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips] Profenofos 50% EC 25 ml/pump spray CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
yellowing fertilizer dosesuggested,19-19-19 fertilizer 100 gm/pump spray
fungus problem rootask increase flower initiation, COPPER OXYCLORIDE (BLUE COPPER) 50% W.P. 40 gram/pump drenching OR 250 gram/vigha water treatment COPPER OXYCLORIDE (BLUE COPPER) 50% W.P. 40 gram/pump drenching OR 250 gram/vigha water treatment Boom Flower (Nitrobenzene) 15 ml/pump spray
sucing pest cropes, Monocrotophos 36% sc/ec/sl 20ml/pump spray
weed white fly, Pendimethalin 38.7 CS (Stomp) 35ml/pump spray  Profenofos 50% EC 25 ml/pump spray
red leaf problem cottonask mealy bug informaiton, Magnesium sulphate 100 gm/pump spray Profenofos 50% EC 25 ml/pump spray
red leaf fungus problem rootproblem, Magnesium sulphate 100 gm/pump spray CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
drop problemask sucking pests problem, 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray Profenofos 50% EC 25 ml/pump spray
redness leaves,use magnesium sulphate 
sucking pests problem suggested spinosad sc tracer ml pump spray thrips sc,Spray Spinosad 45 SC (Tracer) 5ml/pump
male flower formation, transfer the call to universities
pest, Dicofol 18.5 EC 25 ml/pump spray Ethion 50% EC 15 ml/pump spray
white fly informa, Profenofos 50% EC 25 ml/pump spray
redmite,ethiyon 15 ml/pump sprey
pheroman trap, put 2-3 pheroman trap per Vige
sucking larva, spray cypermentrin + tryzophos 20-25 ml/pump
sucking pests problem red leaf problem, Fipronil 5 SC 25ml/pump spray [Final Control] Magnesium sulphate 100 gm/pump spray
mealy bug drop problem, Profenofos 50% EC 25 ml/pump spray 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
problem ion, Imidacloprid 17.8% s.l. 5 ml/pump  spray Monocrotophos 36% sc/ec/sl 20ml/pump spray Acephate 75% sp 15 gram/pump spray
mealy bug informationsuggested,Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
chili white fly, spray tryjophose 20ml/pump
fro mealy bug problem, Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]  Profenofos 50% EC 25 ml/pump spray
white fly mealy bug, spray tryjophose 20ml/pump
vask sucking pest,dia methote 10 ml/ 10 lit. water
white fiy,TO TRIZOPHOS 25 ML /PUMP SPRAY
abouut black boll, TO PLANOFAX 5 ML/PUMP
yellowing fertilizer doseask white fly sucking pests problem, Urea 100 gram/pump spray Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spray Fipronil 5 SC 25ml/pump spray [Final Control]
general informations,#NAME?
vask sucking pests problem, Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]
leaf, spray micronutrient
red leaf problem cottonask mealy bug, Magnesium sulphate 100 gm/pump spray Profenofos 50% EC 25 ml/pump spray
fetilizer flower drop,sujjest for DAP
flower droping,weather problem and boomflower 20 ml/pump sprey
mealy bug prob, Profenofos 50% EC 25 ml/pump spray
daativada agri uni contact number,Daativada Agri Uni Contact number Call:02748-278437(atic)
sucking pests problem suggested dimethoate rogar e c ml pump spray suitable young crops, Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]Ask about sucking pests problem in crop  Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]
pink ball worm sucking pest," Imidacloprid 17.8% s.l. 5 ml/pump  spray for pink boll worm,"
vask heliothese pink ball warm, Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
heliothese pink ball warm cottonask termite nematod white grub, Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage Chlorpyrifos 20 EC 30 ml/pump drenching or 250 ml/vigha water treatment
larvae prob, Coragen 18.5 SC 5ml/pump spray [ final solution ]
spraying fertilizer application,19:19:19
flower drop problemask heliothese pink ball warm, Boom Flower (Nitrobenzene) 15 ml/pump spray Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
red leaf problem cottonask flower drop problem, Magnesium sulphate 100 gm/pump spray Boom Flower (Nitrobenzene) 15 ml/pump sprayc
drop problemsuggested ml naa planofix gm ferti pump spray, 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
mixing different pesticides fungicides, Do not mix different pesticides in a single pump. Spray it seprately with a proper time gap.
fro thrips problem, Imidacloprid 17.8% s.l. 5 ml/pump  spray Monocrotophos 36% sc/ec/sl 20ml/pump spray Acephate 75% sp 15 gram/pump spray
company details, No private company details available
flower problem, Boom Flower (Nitrobenzene) 15 ml/pump spray
flower droping problem,WEATHER CLIMET CHANGE PROBLEM NOT ANY TREAMANT REQUIRED
fertilizer doseask fungus problem root, Ammonium Sulphate(20.6-00-00 15 kg/vigha as basal application CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
fungus problem rootask fungus problem root, CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
flower drop problemask larvae, Boom Flower (Nitrobenzene) 15 ml/pump spray Quinalphos 25 EC 30 ml/pump spray
heliothese pink ball warm ml pump,biveriya bejiana 40 gram
pink bollwormsuggested deltamethrin triazophos ml pump spray,Deltamethrin  AND Triazophos 25 ml/pump spray
heliothese pink ball warm cottonask white fly,DELTAMETHRIN + TRIZOPHOS 25 ML/ PUMP SPRAY Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips]
thrhips, Profenofos 50% EC 25 ml/pump spray
practice,no any apllication
drop problemsuggested,5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
leaf redness, Micro Mixture fertilizer as per company recomendation
sowing time chana,to October -november
thirps informaiton, Fipronil 5 SC 25ml/pump spray [Final Control]
sucking pests,flonicamide 3 gm/ 15 lit pump
ml pump sprayask sucking pests problem cro, Imidacloprid 17.8% s.l. 5 ml/pump  sprayAsk about sucking pests problem in crop
sucking pest suggested fipronil sc ml pump spray final sc sucking pest, Fipronil 5 SC 25ml/pump spray [Final Control]
chlorosis,blu copper 40ml/pump
cotoon, Coragen 18.5 SC 5ml/pump spray [ final solution ]
intercrop,sesame
root rot ground nut, drenching blue copper 40 gm /pump for root rot in ground nut
drop problemask fungus problem root, 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
sucking pest drop problem, Profenofos 50% EC 25 ml/pump spray 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
general informationsuggested provided, All information provided - Thanks for calling in kisaan call center
larva inn crops,DDVP 5 ML+deltamethrin+trayzophose 25 ML
red leaf problem cottonsuggested magnesium sulphate gm pump spray, Magnesium sulphate 100 gm/pump spray
abot whitefly, Profenofos 50% EC 25 ml/pump spray
fungus problem rootask white fly, CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ] ?????????? 40% EC 30 ???? / ??? ?????? ???? [???? ??? ???? ?? ?????]
red leaf problem cottons, Magnesium sulphate 100 gm/pump spray
sucking pest problm, Profenofos 50% EC 25 ml/pump spray
thrips sucking pest,"thipronil 10 ml/pump , thaimethoxam 2 g/10 liter"
sucking problem,thimethoxam 5 gm/pump sprey
cotto leaf yellowing, spray 19:19:19 NPK 100 gm/pump
white fly problem, Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]  Profenofos 50% EC 25 ml/pump spray
red leaf problem cottonask fertilizer dose, Magnesium sulphate 100 gm/pump spray Urea (46-00-00) 8-10 kg/ha as top dressing application
mite problem, Fenpyroximate 5% SC (Dinamite) 15 ml/pump spray OR Fenzaquin 10 EC (Megastar)  15 ml/pump spray
sucing pest problem, Fipronil 5 SC 25ml/pump spray [Final Control]
enlarge fruit size, 13-00-45 fertilizer 100 gram/pump spray
suggest problem, 100 gm hirakashi powder (FeSo4) + 10 gm limbu na ful (Cytric Acid) / pump spray
mite redmite ant sucking pests problem, Ethion 50% EC 15 ml/pump spray Imidacloprid 17.8% s.l. 5 ml/pump  spray
mealy bvug, SPRAY PROPHENOPHOS 15 ML/PUMP
fertilizew application, apply urea
flower dropask mealy bug informaiton, Boom Flower (Nitrobenzene) 15 ml/pump spray Profenofos 50% EC 25 ml/pump spray
flower drop problemask yellowing fertilizer dose, Boom Flower (Nitrobenzene) 15 ml/pump spray 19-19-19 fertilizer 100 gm/pump spray
sucking pests problem yellowing fertilizer dose, Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips] Fipronil 5 SC 25ml/pump spray [Final Control] 19-19-19 fertilizer 100 gm/pump spray
flower drop problemask white fly, Boom Flower (Nitrobenzene) 15 ml/pump spray Profenofos 50% EC 25 ml/pump spray
red leaf problem fungus problem root, Magnesium sulphate 100 gm/pump spraycopperoxicloride 50%wp 40 gram/pump drenching
fungus problem cropask flower drop problem, Boom Flower (Nitrobenzene) 15 ml/pump spray Carbendazim (Bavistin) 50% W.P. 20 gram/pump spray
anthrcnose, spray mancozeb 35gm/pump
tobaco, Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
fertilizer application castor,recommended fertilizer dose in the castor
fungus problem cropask larvae, Mancozeb (M-45) 75% W.P. 35 gram/pump spray  Quinalphos 25 EC 30 ml/pump spray
red leaf problem cottonask larvae flower drop problem, Magnesium sulphate 100 gm/pump spray Quinalphos 25 EC 30 ml/pump spray Boom Flower (Nitrobenzene) 15 ml/pump spray
sucking pests problem sesamum," Fipronil 5 SC 25ml/pump spray [Final Control]Guj. Til - 3,4, 10 (black) Purva-1 (ArdhSiyalu)"
abot genarl crops, Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
spreyin time, 9 AM IN MORNING
