Ouery_Cleaned,Answer
frut drop,how to control frut drop in cotton crop -spray NAA napthlin actick acid 50 ml 150 liter water per acre .
white flt thrips,spray of rogor @ 300 ml +nimbisidin @ 500 ml dissolved in 200 litre of water/acre.
pantid bug,spray malathion @ 300 ml in 200 litre of water/acre.
termite pest,Broadcast 1.5 lt. Chlorpyriphos mix in 20-25 kg. dry sand per acre than apply light irrigation.
nformation blast paddy,ISpray 200 gm. Carbendazim in 120 lt. of water per acre disease in Paddy?Spray 200 gm. Carbendazim in 120 lt. of water per acre.
fungel dissese paddy,how to control fungel dissese in paddy ? spray 2 gm bavestin @ per litre water.
leaf curl thrips,spray rogor @ 300 ml in 200 litre of water/acre.
nformation zinc deficiency,control of zinc deficiency in cotton?spray 2.5kg Urea + 500 gm Zinc in 100 Ltr of water /acre .
infomation deemak cootan,"2 liter cloropyrophose ,25 kilo rat per acre ."
fruit,Spray 2 gm M-45 or Bavastin or copper oxy chloride or sulfex or captan / liter water
leaf mosaic virus thrips bhindi,spray malathion @ 400 ml in 200 litre of water/acre.
flower drops black leafs,spray of kosid 250 ml in 120-150 litre of water/acre.
regardingh fungle,control are:-spray-stereptocyclien@6-8 gram+coc coper oxi cloried)@600-800 gram in 150-200 leetr water per acer.
green tela,"SPRAY OF ROGAR 600 ML,200LIT. OF WATER PER ACRE."
leaf carl munfali crops,how to control leaf carl in mungfali crops?spray :-200ml-350ml rogor  in 150-200 lit water /acre.
lief cear cotten crops,spray of rogor 300 ml + 1 liter nimbicidin in 200 liter water /acre .
informamtion white fly,spray of trizophas @ 500 ml in 200 litre of water/acre.
thrips crops controlcontrol,"are:-spray-daimethoeat(rogor)30ec @250-300ml or oxideemeton(metasistox)25ec @400ml  or eemidakloroprid(konfidor)@100 ml or thyaameethoxaam(ektara)@50gram in 120-150 leetr water per acer,"
leaf carl thrips crops,how to control leaf carl in cotton crops?spray500 ml trijophos or rogor or malathion  +500ml nimbisidin in 200 lit in water / acre
thirips capas,how to control thirips incapascontrol thirips in moong?spray of melathion @ 200 ml/200 liter water/acre  or ROGOR 350 ml/200 litre of water.
leaf carl cotten,how to control of leaf carl in cotten ? sapray of 200 ml. obron + 50 500 ml. tryjofos  + 500 ml. nimbisidin in 200 liter water pr acre .
tell aphid,SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER
tell leaf hopper,THAYOMATHOJAM 25% 1 GRAM /PAR LITER WATER SPREY
white fly thrips catterpiller grubs,spray nimbisidin@ 300 ml+oburan @ 200 ml +100 gm pride mixed in 200 litre of water/acre
tinda galan,Spray of qvinalfhos 600 ml+ bavastin 400 ml in 200 liter water per acre .
root wilt,spray of bawastin @ 3gm/litre of water.
termite cotten,information regarding how to control of termite in cotten ?broadcast cloropyriphos @ 1.5 lt in 20 kg sand per acre.
leaf curl bandarpunja,spray urea-2.5 kg +zinc-500 gm mixed in 100 litre of water/acre.
catterpiller deemak,how   to    control    catterpiller  .(deemak) ? Broadcast 2 Ltr chlorophyriphos +2 Ltr of water +25 kg sand  in  / acre  .
nematodes,broadcast carbofuran @ 13 kg  /acre .
white yellow red leaf paddy,"how to control white /yellow, red, leaf of paddy ?answer:-spray 2 -3 gm megneese  salphate  in 1 lit  water ."
nimotods,how to control nimotods in cotton crop ? broadcast 13 kg karbofuron / ecd
leaf carl white fly crops,spray 500 ml Quanelphos + 500 ml nimbisidin in 200 lit in water / acre.
fungel,control are:-spray-stereptocyclien@6-8 gram+coc coper oxi cloried)@600-800 gram in 150-200 leetr water per acer.
white fly trips r,Spray-Oberon@ 200 ml+50 gram actara+500 ml nimisidin in 200 litewater per acre.
aphids sundi wheat,spray 100 ml confidor in 150 litre water/ acre .
nemotodes,broadcasting of carbofuran @ 13 kg + 20 kg of soil/acre.
informatio fungal,spray bavistin @ 400 gm in 200 litre of water/acre.
fungal paddy,Information regarding how to control fungal disease in paddy crop ?spray netiov@160 gram in 140 liter water per acer.
aphids mosaic,Information regarding how to control aphids/mosaic in cotton crop ?spray rogor @ 300 ml in 200 litre of water/acre.
nemotod,how to control of nemotod ?  burkaw of 13  kg.  @  karbofyuraan in 20 kg sukhi mitti .
stem borrer jowar,spray of cypermethrin 25 e.c. @ 25 ml in 120 litre of water/acre.
red plants,SPRAY OF BAWASTIN @ 2GM/LITRE OF WATER.
regardingh fangle spray stereptocyclien gram coc coper oxi,cloried)@600-800 gram in 150-200 leetr water per acer.??????:-???? ?? ??? ??? ???? ????? ?? ?????? ???? ?????
regardingh fangal,Information regardingh how to control fangal disease in cotton ?Control are:-spray-stereptocyclien@6-8 gram+coc coper oxi cloried)400 gram in 200 leetr water per acer.
fungel diseses,spray 300 gm coperoxicloride in 150 litre water/acre.
weed paddy,spray of top star @ 50 gm in 200 liter of water/acre .
furit droping,spray putisun nitrade@ 2 kg in 200 liter of water /acre.
leaf carl crops spray ml ml rogor lit water acre,how to control leaf carl in cotton crops?spray :-200ml-350ml rogor in 150-200 lit water /acre.
blight tomato,How to control Blight in Tomato?Spray 400 gm. M-45 in 200 lt. of water per acre.
plz tell white fly cototn,SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER
tell bollowerm,SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER
hopper,Brodcasting fenverlet 6 kg per acre .
thrips jind,spray  rogor @ 400 ml in 150 liter of water /acre.
morepanja,answer:-spray_2.5 kg urea + 500 gm zink(21%) in 150 litre water / acre.
fungal diesaes paddy,Information regarding how to control fungal diesaes in paddy ? Spray 8 gm. streptocyclin + 250 ml. Hexaconazole in 200 lt. of water per acre.
alternaria leaf spot,spray of bawastin @ 400 gm in 200 litre of water/acre.
regardingh fangle spray stereptocyclien gram coc coper oxi cloried gram leetr water per acer,information regardingh how to control fangle disease in cotton ?control are:-spray-stereptocyclien@6-8 gram+coc coper oxi cloried)@600-800 gram in 150-200 leetr water per acer.
fungal dieases bakani paddy,"information regarding how to control fungal dieases(bakani) in paddy crop -spray 500 gram bavastin ,150 liter water per acre ."
white phrips,spray of alika @ 80 ml in 120 litre of water/acre.
zinc dificiance paddy spray kg urea gm zinc ltr water acre,how to control zinc dificiance in paddy ?spray 2.5 kg Urea + 500 gm Zinc in 200 Ltr of water /acre
insects rewari,"spray of chloropyriphos @ 2ml/litre of water,"
leaf folder,Information regarding how to control of leaf folder in cotton.?Spray 200 ml. monocrotophos in 200 lt. of water per acre.
thirips stem borer,spray of Quinalphos @ 600 ml in 200 liter water/acer .
fungel diseases,spray 300 gm coperoxicloride in 150 litre water/acre.
morpanmja,spray of zink 100 gm + 300 gm urea in 120 litre of water/acre.
fungel diesese,spray 300 gm coperoxicloride in 150 litre water/acre.
american catterpiller thirps sundi,"how to control american catterpiller,thirps sundi in cotton crop-spray-400 ml rogor ,1 liter nimbisideen in 200 liter of water /acre ."
formation regardingh fangle,formation regardingh how to control fangle disease in cotton ?control are:-spray-stereptocyclien@6-8 gram+coc coper oxi cloried)@600-800 gram in 150-200 leetr water per acer.
fungal diease,How to control fungal diease in cotton?Spray 400 gm. M-45 in 200 lt. of water per acre.
thirps tomato,information regarding  how to control thirps in tomato crop ?spray ;400 gm melathion or350 ml  rogor in 200 liter water  / acre .
leaf catters,spray of chloropyriphos @ 2ml/litre of water.
fungel disseses,spray 300 gm coperoxicloride in 150 litre water/acre.
thirips sugarcane,spray of Qunalphosh @ 600 ml in 200 liter of water /acer .
weeds regardingh weed paddy nursury,weeds control in cotton crop ?broadcast :-600ml gramaxon or 200 gm duron OR PENDAMETHALIN  in 200 liter water .
leaf carl white flyin crops,"How to control white fly,trips in cotton?Spray-Oberon@ 200 ml+50 gram actara+spray500 ml trijophos +500ml nimbisidin in 200 lit in water / acre"
leaf mosaic tinda,spray malathion @ 400 ml in 200 litre of water/acre.
thirips wheat,how to control thirips in wheat crop ?spray of malathion @ 600 ml in 200 liter water/acre .
leaf curl pest,spray of rogor @ 300 ml in 200 litre of water/acre.
aphids cottan,Spray 200 ml. malathion in 100 lt. of water per acre.
grasshoper,Brodcasting fenvelrat 6-8 kg per acre .
fu,?????:-???? ?? ??? ??? ???? ????? ?? ?????? ?? ??? ?? ????? ? ????? ?? ?????
bander panja,spray 205 kg urea + 500 gram zinc in 150 liter of water /acre.
stem borar,Broadcasting of Carberil @5 Kg+10 Kg sand/acre.
leaf curl aphid mosaic,spray confidor @ 100 ml in 150 litre of water/acre.
aphids spray ml malathion rogor lt water per acre,How to control aphids in cotton ?Spray 300 ml. malathion or rogor in 250 lt. of water per acre.
insect afids,spray 300 ml Rogor in 150 litre water/acre.
fungal chappan kaddu,how to control fungal disease in chappan kaddu ? spray of m-45 @ 400 gm in 200 liter watre/acer .
black keedi sugarcane,how to control black  keedi in sugarcane ?spray -160 ml dychlorvas or 400chloropyriphos in 200 liter water /acre
fungal diseases spray gm streptocyclin gm copper oxychloride lt water per acre,How to control fungal diseases in cotton?Spray 6gm. streptocyclin  + 600gm. copper oxychloride  in 200 lt. of water per acre.
neematod cottn crops,information regarding control of neematod in cottn crops?Brodcisting 13 kilo karbafuran in 25 kilo sand per acre .
cotten,INFORMATION REGARDING DISEASE CONTROL IN cotten  ?DISEASE CONTROL IN cotten  --13 kilgram carbofuraan in 20 ret    /ACRE.
regardingh fungl,control are:-spray-stereptocyclien@6-8 gram+coc coper oxi cloried)@600-800 gram in 150-200 leetr water per acer.??????:-???? ?? ??? ??? ???? ????? ?? ?????? ???? ?????
root borrer termit,BROADCAST TO CHLORPYRIPHOS @ 2 LITRE DISSOLVED IN 25 KG DRY SEND/ACRE.
fungial diseases,How to control fungial diseases in cotton crop ?spray to plantomycin @ 30-40 gm or sterptrocychilin @ 6-8 gm + 600 gm c.o.c in 150-200 liter of water / acre .
afids,spray 100 ml confidor in 150 litre water/acre.
informarion insects,spray of melathian @ 2ml/litre of water.
fungal spray gm streptocyclin gm copper oxychloride lt water per acre,Information regarding how to control fungal disease in cotton?Spray 6gm. streptocyclin  + 600gm. copper oxychloride  in 200 lt. of water per acre.
regardingh fungal diseases,Spray of COC @2 Gm/Ltr water.
fungal diseases root rot,Spray 6gm. streptocyclin  + 600-800 gm. copper oxychloride  in 200 lt. of water per acre.
leaf curl willt,"SPRAY C.O.C @ 800 GM ,STREPTOCYCLINE @ 8 GM IN 200 LITRE OF WATER/ACRE."
whit fly jassids,"cotton crops  : spray of alica 80 ml in 120 litre of water/acreControl are:-spray-Qunelphos or traizophose@600 ml +1 liter nimbisidin in 200 liter watrer per acer,"
insect pest,INSECT PEST CONTROL IN COTTON  ?SPRAY 300 ML MELATHION 50 EC OR ROGOR 30 EC OR 200 ML METASYSTOX 25 EC IN 200 LITER WATER /ACRE
afids thrips,spray 300 ml rogor in 150 litre water/acre.
willt leaf curl,"how to control willt in cotton crop ?HOW TO CONTROL LEAF CURL IN COTTON CROP ?SPRAY C.O.C @ 800 GM ,STREPTOCYCLINE @ 8 GM IN 200 LITRE OF WATER/ACRE."
insects fibre,spray of chloropyriphos @ 2ml/litre of water.
thrips sundi,spray of profonofas 3 ml in per liter water .
leaf eating caterpiller,"how to control leaf eating caterpiller in cotton?spray 400 ml rogor ,500 gram bavastin ,200 liter water per acre ."
willt,"how to control willt in cotton crop ?SPRAY C.O.C @ 800 GM ,STREPTOCYCLINE @ 8 GM IN 200 LITRE OF WATER/ACRE."
fungel dissese,spray 300 gm coperoxicloride in 150 litre water/acre.
early blight,Spray 400 gm. M-45 in 200 lt. of water per acre.
white black hopper paddy,Information regarding how to control white/black hopper in paddy ?broadcast to mithiel perathion @ 10 kg/acre.
fungal diseases spray gm streptocyclin,How to control fungal diseases in cotton?Spray 6gm. streptocyclin  + 600gm. copper oxychloride  in 200 lt. of water per acre.
termite cotten crops,information regarding how to control of termite in cotten crops ?broadcast cloropyriphos @ 1.5 lt in 20 kg sand per acre.
weeds incotton,Information regarding how to control weeds incotton crop ?spray stomp @ 1.25 litre in 250 litre of water/acre.
sundai,"spray 45 ml fame @ 100 lt water par acre ,"
fungal jwar,spray mancozeb @ 500 gm in 200 litre of water/acre.
katua sundi,brodcasting fenvelret 6-8 kg per acre .
rgarding insects,spray of chloropyriphos @ 2ml/litre of water.
leaf cutter,"SPRAY OF CONFIDOR 80ML,120 LIT OF WATER PER ACRE."
fungul cucumber,How to control fungul disease in cucumber  ?spray 400 gm saaf OR m-45 or bavsteen in 200 lt. water/acre.
surface graashopper,FENVALERATE 0.4% DP 6-8 kg/ acre
kotton,Spray 2 gm M-45 or Bavastin or copper oxy chloride or sulfex or captan / liter water
leaf carl thirips crops,spray500 ml trijophos +500ml nimbisidin in 200 lit in water / acre
insect cottan,how to control insect in  spray 40 ml fame in 120 litre water/acre.
sundi gram,SPRAY 50ML CYPERMETHRIN 25 EC OR 400 ML QUINALPHOS 25 EC OR 200 ML MONOCROTOPHOS 36 SL OR 80ML FENVALRATE 20 EC IN 200 LITER WATER /ACRE
leaf folder catterpiller paddy,spray of 800 ml quinalphos in 200 litre of water/acre.
laldi pest,spray 75 ml. cypermethrin in 100 lt. of water per acre.??????:- ????? ??? ?? ?????? ???? ????
fruit dropping,spray;- 1 kg n.p.k (13 :00 :45);in 100 lit water / acre.
thirips inbajra,spray of melathion @ 200 ml/200 liter water/acre  or ROGOR 350 ml/200 litre of water.
green sundi,Spray of prophonofhos 800 ml in 200 liter water per acre .
leaf carl fungal crops,control are:-spray- copper oxychloride (COC)@600-700 gram+8 gram stereptocyclien in 200 liter water per acer.???
sundi kapas,Spray of profenofhos 800 ml in 200 liter water per acre .
regardingh fangle paddy,Control are:-spray-stereptocyclien@6-8 gram+coc coper oxi cloried)@600 gram in 150-200 leetr water per acer.
flower bols droping crops spray potesiyam naitreat kilo liter water per acer,"Information regarding how to control flower and bols droping in cotton crops? control are:-spray potesiyam naitreat@2 kilo in 200 liter water per acer,"
american catterpiller grobs,spray quinalphos @ 600-800 ml in 200 litre of water/acre.
soondi paddy,Spray-@200 ml monocrotofhos in 150 liter water per acre.
hairy caterpillar,How to control hairy caterpillar in cotton ?Spray 500 ml. Quinalphos in 200 lt. of water per acre.
ctterpiller,spraY OF QUINALPHOS @ 500ML IN 200 LITRE OF WATER/ACRE.
leaf carl crops n,how to control leaf carl in cotton crops?spray500 ml trijophos +500ml nimbisidin in 200 lit in water / acre
white fly incotton crops,how to control white fly incotton crops? spray500 ml trijophos + 1 liter nimbisidin in 200 lit in water / acre
toz white fly thrips,crop ?spray tryzophos @ 600 ml + nimbisideen @ 500 ml in 200 litre of water/acre
fruit droping,Spray of potessiuam naitrait 2 kg in 200 litre water per acre .
spray fungal,spray Information regarding how to control fungal disease in cotton crop ?bavistin @ 600 gm in 200 litre of water/acre.
fruit boror,information regarding how to control stem boror in cotton  crop ? spray 500 ml qwenolphos or monocrtophos  mixed in 200 liter water / ecd
boll worm,spray of avant @ 200 ml in 200 litre of water/acre.
berseem,SPRAY 400 GM BAVASTIN IN 200 LITER WATER /ACRE.
fungal dieases n,cotton crop ?spray coc @ 600-800 gm + streptocycline @ 6 gm in 200 litre of water/acre.
fungle gaur,control fangle disease in guar :-spray 30gm streptocyclin+200 gm C.O C.in 200 lit water / acre.
flower fruit dropping botte gourd,Spray 1 ml. Planofix in 4.5 lt. of water/ .
thrips gwar,spray of rogor @ 300 ml + nimbisidin @ 500 ml mixed in 200 litre of water/acre.
white leaf paddy,spray-2 gram ferus sulphate prti liter water .
grouth cotten,grouth in cotten - 5-7 kilogram bayoveeta pr eced .
bakani fungal paddy,spray bavistin @ 400 gm in 200 litre of water/acre.
gob sundi paddy,how to control gob sundi in paddy crop ? spray 200 ml monocrotophos in 200 liter water per acre.
flower fruit,spray of planofix @ 50 ml in 200 liter water/acre  .
wheat fly aphid crops,"How to control wheat fly,aphid in cotton crops  ?Spray 200 ml Oberon+50 gram actara +500 ml nimbisidin , in 200 liter water per acre."
flower fruit dropping crops,How to control flower and fruit dropping in cotton crops.?spray of planofix @ oriofinzin 50 ml/ 200 liter water per/acer.?.
blast paddy,spray of nativo @ 160 gm in 200 litre of water/acre.
leaf blight,spray of 500 gm coside in 150 litre of water/acre.
kala bhund,spray of deltamethrin @ 200 ml in 200 litre of water/are.
becterial blight,ontrol becterial blight in cotton crop-spray coc @ 600-800 gm  + streptocycline @ 6-8 gm mixed in 200 litre of water/acre.
bectireal blight,Spray of coc 600-800 gm + 6-8 gm streptocyclin in 200 liter water per acre .
fangas disese cotten,CONTROL OF FANGAS DISESE IN COTTEN CROP - SAPRAY OF 500 GRAM @SAF IN 200 LITER WATER / ACRE .
white tela,"SPRAY OF ROGAR 500ML,200 LIT. OF WATER PER ACRE."
grass hopper paddy,control of grass hopper in paddy  --  sapray of 250 ml . lemda in 200 liter water .
leaf black,"SPRAY OF COC 600G+8 G STREPTOCYCLIN,200 LITAR OF WATER PER ACRE."
soondi,how to control of soondi in cotton  crop ?Spray-@200 ml monocrotofhos in 150 liter water per acre.
black keedi,Spray 60 ml. coragen in 100 lt. of water per acre.
mealybugs,"Profenophos @ 1.5 ml/l + soap solution (1%) OR Acephate @ 1 g/lNeem Seed Kernel Extract(NSKE 5%) 5ml/l or  Neemoil 5ml/ l + detergent powder 1gm/l can be sprayed as spot application on infested stalks.Fish oil resin liquid 10ml mixed with neem10ml/l or Karanj oil 10ml /l may be sprayed.As the last option, spray acephate 75 SP @ 1 g/l OR quinalphos 25 EC 2 ml/l  or chlorpyriphos 25 EC 2ml/l or profenophos 50 EC @ 2 ml or thiodicarb 75 WP 2gm/l"
bactireal blight,Spray of coc 800 gm + 8 gm streptocyclin in 200 liter water per acer .
funagl cootan,HOW TO CONTROL FUNJAL DISEASE IN cootan ? SPRAY OF CARVENDAJIM (BABASTIN)500 GM IN 200 LITER WATER/ACRE .
red bug,Spray insecticides like Profenophos 50 EC @ 2 ml/l or chloropyriphos 20 EC @ 2 ml/l or  Acephate 1g/l
