SampleNo,SampleCollectionDate,LandArea,Irrigation,Longitude,Latitude,pH,EC,Organic Carbon (OC),Available Nitrogen (N),Available Phosphorus (P),Available Potassium (K),Available Sulphur (S),Available Zinc (Zn),Available Boron (B),Available Iron (Fe),Available Manganese (Mn),Available Copper (Cu)
PB/2017-18/95522776/2,10-11-2017,6.00  Acre,Irrigated(Tube well),31.796160,74.670410,8.22 : Moderately alkaline,0.21 dS/m: ,0.43 %: Low,-- kg/ha: ,47.51 kg/ha: Medium,237.89 kg/ha: Medium,16.62 ppm: Sufficient,1.33 ppm: Sufficient,-- ppm: ,15.32 ppm: Sufficient,0.51 ppm: Deficient,1.74 ppm: Sufficient
PB/2017-18/95522776/1,10-11-2017,6.00  Acre,Irrigated(Tube well),31.796160,74.670410,8.22 : Moderately alkaline,0.21 dS/m: ,0.43 %: Low,-- kg/ha: ,47.51 kg/ha: Medium,237.89 kg/ha: Medium,16.62 ppm: Sufficient,1.33 ppm: Sufficient,-- ppm: ,15.32 ppm: Sufficient,0.51 ppm: Deficient,1.74 ppm: Sufficient
PB/2017-18/95522944/2,10-11-2017,7.00  Acre,Irrigated(Tube well),31.795100,74.670390,8.53 : ,0.19 dS/m: ,0.36 %: Low,-- kg/ha: ,54.77 kg/ha: Medium,212.98 kg/ha: Medium,16.61 ppm: Sufficient,1.39 ppm: Sufficient,-- ppm: ,17.88 ppm: Sufficient,0.65 ppm: Deficient,1.68 ppm: Sufficient
PB/2017-18/95522944/1,10-11-2017,7.00  Acre,Irrigated(Tube well),31.795100,74.670390,8.53 : ,0.19 dS/m: ,0.36 %: Low,-- kg/ha: ,54.77 kg/ha: Medium,212.98 kg/ha: Medium,16.61 ppm: Sufficient,1.39 ppm: Sufficient,-- ppm: ,17.88 ppm: Sufficient,0.65 ppm: Deficient,1.68 ppm: Sufficient
PB/2017-18/95523156/2,10-11-2017,5.00  Acre,Irrigated(Tube well),31.798010,74.669030,8.23 : Moderately alkaline,0.18 dS/m: ,0.40 %: Low,-- kg/ha: ,44.91 kg/ha: Medium,244.61 kg/ha: Medium,21.34 ppm: Sufficient,1.41 ppm: Sufficient,-- ppm: ,16.24 ppm: Sufficient,1.40 ppm: Deficient,1.71 ppm: Sufficient
PB/2017-18/95523156/3,10-11-2017,5.00  Acre,Irrigated(Tube well),31.798010,74.669030,8.23 : Moderately alkaline,0.18 dS/m: ,0.40 %: Low,-- kg/ha: ,44.91 kg/ha: Medium,244.61 kg/ha: Medium,21.34 ppm: Sufficient,1.41 ppm: Sufficient,-- ppm: ,16.24 ppm: Sufficient,1.40 ppm: Deficient,1.71 ppm: Sufficient
PB/2017-18/95523156/1,10-11-2017,5.00  Acre,Irrigated(Tube well),31.798010,74.669030,8.23 : Moderately alkaline,0.18 dS/m: ,0.40 %: Low,-- kg/ha: ,44.91 kg/ha: Medium,244.61 kg/ha: Medium,21.34 ppm: Sufficient,1.41 ppm: Sufficient,-- ppm: ,16.24 ppm: Sufficient,1.40 ppm: Deficient,1.71 ppm: Sufficient
PB/2017-18/95523347/2,10-11-2017,5.00  Acre,Irrigated(Tube well),31.792410,74.668950,8.52 : ,0.22 dS/m: ,0.35 %: Low,-- kg/ha: ,49.21 kg/ha: Medium,202.14 kg/ha: Medium,14.96 ppm: Sufficient,1.13 ppm: Sufficient,-- ppm: ,15.26 ppm: Sufficient,0.49 ppm: Deficient,1.38 ppm: Sufficient
PB/2017-18/95523347/1,10-11-2017,5.00  Acre,Irrigated(Tube well),31.792410,74.668950,8.52 : ,0.22 dS/m: ,0.35 %: Low,-- kg/ha: ,49.21 kg/ha: Medium,202.14 kg/ha: Medium,14.96 ppm: Sufficient,1.13 ppm: Sufficient,-- ppm: ,15.26 ppm: Sufficient,0.49 ppm: Deficient,1.38 ppm: Sufficient
PB/2017-18/95523527/2,10-11-2017,6.00  Acre,Irrigated(Tube well),31.796290,74.673200,8.54 : ,0.19 dS/m: ,0.46 %: Low,-- kg/ha: ,20.24 kg/ha: Low,146.09 kg/ha: Medium,23.23 ppm: Sufficient,0.93 ppm: Sufficient,-- ppm: ,8.68 ppm: Sufficient,0.58 ppm: Deficient,1.10 ppm: Sufficient
PB/2017-18/95523527/1,10-11-2017,6.00  Acre,Irrigated(Tube well),31.796290,74.673200,8.54 : ,0.19 dS/m: ,0.46 %: Low,-- kg/ha: ,20.24 kg/ha: Low,146.09 kg/ha: Medium,23.23 ppm: Sufficient,0.93 ppm: Sufficient,-- ppm: ,8.68 ppm: Sufficient,0.58 ppm: Deficient,1.10 ppm: Sufficient
PB/2017-18/95523725/1,10-11-2017,12.00  Acre,Irrigated(Tube well),31.898610,74.673810,8.66 : Strongly Alkaline,0.17 dS/m: ,0.35 %: Low,-- kg/ha: ,15.70 kg/ha: Low,188.70 kg/ha: Medium,19.33 ppm: Sufficient,0.79 ppm: Sufficient,-- ppm: ,7.67 ppm: Sufficient,0.90 ppm: Deficient,1.56 ppm: Sufficient
PB/2017-18/95523909/1,10-11-2017,7.00  Acre,Irrigated(Tube well),31.800220,74.675250,8.68 : Strongly Alkaline,0.18 dS/m: ,0.48 %: Low,-- kg/ha: ,9.73 kg/ha: Very Low,236.54 kg/ha: Medium,16.42 ppm: Sufficient,0.43 ppm: Deficient,-- ppm: ,9.74 ppm: Sufficient,1.17 ppm: Deficient,1.60 ppm: Sufficient
PB/2017-18/95524079/2,10-11-2017,6.00  Acre,Irrigated(Tube well),31.798180,74.675130,8.59 : ,0.17 dS/m: ,0.39 %: Low,-- kg/ha: ,46.28 kg/ha: Medium,194.30 kg/ha: Medium,18.96 ppm: Sufficient,1.31 ppm: Sufficient,-- ppm: ,17.32 ppm: Sufficient,0.73 ppm: Deficient,1.49 ppm: Sufficient
PB/2017-18/95524079/1,10-11-2017,6.00  Acre,Irrigated(Tube well),31.798180,74.675130,8.59 : ,0.17 dS/m: ,0.39 %: Low,-- kg/ha: ,46.28 kg/ha: Medium,194.30 kg/ha: Medium,18.96 ppm: Sufficient,1.31 ppm: Sufficient,-- ppm: ,17.32 ppm: Sufficient,0.73 ppm: Deficient,1.49 ppm: Sufficient
PB/2017-18/95524257/2,10-11-2017,7.00  Acre,Irrigated(Tube well),31.792840,74.670400,8.58 : ,0.18 dS/m: ,0.44 %: Low,-- kg/ha: ,28.69 kg/ha: Medium,218.13 kg/ha: Medium,20.14 ppm: Sufficient,1.03 ppm: Sufficient,-- ppm: ,15.34 ppm: Sufficient,0.53 ppm: Deficient,1.73 ppm: Sufficient
PB/2017-18/95524257/1,10-11-2017,7.00  Acre,Irrigated(Tube well),31.792840,74.670400,8.58 : ,0.18 dS/m: ,0.44 %: Low,-- kg/ha: ,28.69 kg/ha: Medium,218.13 kg/ha: Medium,20.14 ppm: Sufficient,1.03 ppm: Sufficient,-- ppm: ,15.34 ppm: Sufficient,0.53 ppm: Deficient,1.73 ppm: Sufficient
PB/2017-18/95524453/2,10-11-2017,4.00  Acre,Irrigated(Tube well),31.794770,74.673020,8.57 : ,0.17 dS/m: ,0.49 %: Low,-- kg/ha: ,22.19 kg/ha: Low,196.81 kg/ha: Medium,14.91 ppm: Sufficient,1.31 ppm: Sufficient,-- ppm: ,9.92 ppm: Sufficient,0.25 ppm: Deficient,1.15 ppm: Sufficient
PB/2017-18/95524453/3,10-11-2017,4.00  Acre,Irrigated(Tube well),31.794770,74.673020,8.57 : ,0.17 dS/m: ,0.49 %: Low,-- kg/ha: ,22.19 kg/ha: Low,196.81 kg/ha: Medium,14.91 ppm: Sufficient,1.31 ppm: Sufficient,-- ppm: ,9.92 ppm: Sufficient,0.25 ppm: Deficient,1.15 ppm: Sufficient
PB/2017-18/95524453/1,10-11-2017,4.00  Acre,Irrigated(Tube well),31.794770,74.673020,8.57 : ,0.17 dS/m: ,0.49 %: Low,-- kg/ha: ,22.19 kg/ha: Low,196.81 kg/ha: Medium,14.91 ppm: Sufficient,1.31 ppm: Sufficient,-- ppm: ,9.92 ppm: Sufficient,0.25 ppm: Deficient,1.15 ppm: Sufficient
PB/2017-18/95524633/2,10-11-2017,5.00  Acre,Irrigated(Tube well),31.798340,74.677520,8.54 : ,0.21 dS/m: ,0.35 %: Low,-- kg/ha: ,62.07 kg/ha: High,182.00 kg/ha: Medium,10.38 ppm: Sufficient,0.78 ppm: Sufficient,-- ppm: ,17.78 ppm: Sufficient,0.19 ppm: Deficient,1.23 ppm: Sufficient
PB/2017-18/95524633/1,10-11-2017,5.00  Acre,Irrigated(Tube well),31.798340,74.677520,8.54 : ,0.21 dS/m: ,0.35 %: Low,-- kg/ha: ,62.07 kg/ha: High,182.00 kg/ha: Medium,10.38 ppm: Sufficient,0.78 ppm: Sufficient,-- ppm: ,17.78 ppm: Sufficient,0.19 ppm: Deficient,1.23 ppm: Sufficient
PB/2017-18/95524804/2,10-11-2017,3.00  Acre,Irrigated(Tube well),31.797080,74.677630,8.68 : Strongly Alkaline,0.20 dS/m: ,0.39 %: Low,-- kg/ha: ,19.30 kg/ha: Low,207.24 kg/ha: Medium,12.37 ppm: Sufficient,1.28 ppm: Sufficient,-- ppm: ,13.30 ppm: Sufficient,0.64 ppm: Deficient,1.79 ppm: Sufficient
PB/2017-18/95524804/1,10-11-2017,3.00  Acre,Irrigated(Tube well),31.797080,74.677630,8.68 : Strongly Alkaline,0.20 dS/m: ,0.39 %: Low,-- kg/ha: ,19.30 kg/ha: Low,207.24 kg/ha: Medium,12.37 ppm: Sufficient,1.28 ppm: Sufficient,-- ppm: ,13.30 ppm: Sufficient,0.64 ppm: Deficient,1.79 ppm: Sufficient
PB/2017-18/95524980/2,10-11-2017,4.00  Acre,Irrigated(Tube well),31.796210,74.679190,8.42 : Moderately alkaline,0.21 dS/m: ,0.52 %: Medium,-- kg/ha: ,15.25 kg/ha: Low,281.34 kg/ha: Medium,13.02 ppm: Sufficient,1.08 ppm: Sufficient,-- ppm: ,11.25 ppm: Sufficient,0.97 ppm: Deficient,1.56 ppm: Sufficient
PB/2017-18/95524980/1,10-11-2017,4.00  Acre,Irrigated(Tube well),31.796210,74.679190,8.42 : Moderately alkaline,0.21 dS/m: ,0.52 %: Medium,-- kg/ha: ,15.25 kg/ha: Low,281.34 kg/ha: Medium,13.02 ppm: Sufficient,1.08 ppm: Sufficient,-- ppm: ,11.25 ppm: Sufficient,0.97 ppm: Deficient,1.56 ppm: Sufficient
PB/2017-18/95525171/2,10-11-2017,5.00  Acre,Irrigated(Tube well),31.790910,74.668620,8.32 : Moderately alkaline,0.20 dS/m: ,0.45 %: Low,-- kg/ha: ,37.27 kg/ha: Medium,193.87 kg/ha: Medium,11.54 ppm: Sufficient,0.94 ppm: Sufficient,-- ppm: ,12.49 ppm: Sufficient,0.19 ppm: Deficient,1.16 ppm: Sufficient
PB/2017-18/95525171/1,10-11-2017,5.00  Acre,Irrigated(Tube well),31.790910,74.668620,8.32 : Moderately alkaline,0.20 dS/m: ,0.45 %: Low,-- kg/ha: ,37.27 kg/ha: Medium,193.87 kg/ha: Medium,11.54 ppm: Sufficient,0.94 ppm: Sufficient,-- ppm: ,12.49 ppm: Sufficient,0.19 ppm: Deficient,1.16 ppm: Sufficient
PB/2017-18/95525339/2,10-11-2017,9.50  Acre,Irrigated(Tube well),31.794510,74.675460,8.45 : Moderately alkaline,0.25 dS/m: ,0.45 %: Low,-- kg/ha: ,39.87 kg/ha: Medium,239.68 kg/ha: Medium,15.19 ppm: Sufficient,1.18 ppm: Sufficient,-- ppm: ,14.53 ppm: Sufficient,1.04 ppm: Deficient,1.48 ppm: Sufficient
PB/2017-18/95525339/1,10-11-2017,9.50  Acre,Irrigated(Tube well),31.794510,74.675460,8.45 : Moderately alkaline,0.25 dS/m: ,0.45 %: Low,-- kg/ha: ,39.87 kg/ha: Medium,239.68 kg/ha: Medium,15.19 ppm: Sufficient,1.18 ppm: Sufficient,-- ppm: ,14.53 ppm: Sufficient,1.04 ppm: Deficient,1.48 ppm: Sufficient
PB/2017-18/95525516/2,10-11-2017,5.00  Acre,Irrigated(Tube well),31.792790,74.675510,8.52 : ,0.22 dS/m: ,0.35 %: Low,-- kg/ha: ,16.74 kg/ha: Low,136.33 kg/ha: Low,13.04 ppm: Sufficient,1.07 ppm: Sufficient,-- ppm: ,12.64 ppm: Sufficient,2.45 ppm: Sufficient,1.43 ppm: Sufficient
PB/2017-18/95525516/1,10-11-2017,5.00  Acre,Irrigated(Tube well),31.792790,74.675510,8.52 : ,0.22 dS/m: ,0.35 %: Low,-- kg/ha: ,16.74 kg/ha: Low,136.33 kg/ha: Low,13.04 ppm: Sufficient,1.07 ppm: Sufficient,-- ppm: ,12.64 ppm: Sufficient,2.45 ppm: Sufficient,1.43 ppm: Sufficient
PB/2017-18/95525686/1,10-11-2017,12.50  Acre,Irrigated(Tube well),31.790970,74.669970,7.95 : Moderately alkaline,0.22 dS/m: ,0.46 %: Low,-- kg/ha: ,45.02 kg/ha: Medium,207.76 kg/ha: Medium,17.08 ppm: Sufficient,1.31 ppm: Sufficient,-- ppm: ,13.55 ppm: Sufficient,2.06 ppm: ,1.42 ppm: Sufficient
PB/2017-18/95525837/2,10-11-2017,7.00  Acre,Irrigated(Tube well),31.794280,74.679670,7.79 : Moderately alkaline,0.19 dS/m: ,0.41 %: Low,-- kg/ha: ,25.42 kg/ha: Medium,208.99 kg/ha: Medium,19.20 ppm: Sufficient,1.19 ppm: Sufficient,-- ppm: ,11.18 ppm: Sufficient,0.82 ppm: Deficient,1.25 ppm: Sufficient
PB/2017-18/95525837/1,10-11-2017,7.00  Acre,Irrigated(Tube well),31.794280,74.679670,7.79 : Moderately alkaline,0.19 dS/m: ,0.41 %: Low,-- kg/ha: ,25.42 kg/ha: Medium,208.99 kg/ha: Medium,19.20 ppm: Sufficient,1.19 ppm: Sufficient,-- ppm: ,11.18 ppm: Sufficient,0.82 ppm: Deficient,1.25 ppm: Sufficient
PB/2017-18/95526005/2,10-11-2017,6.50  Acre,Irrigated(Tube well),31.794910,74.677920,8.53 : ,0.13 dS/m: ,0.34 %: Low,-- kg/ha: ,16.23 kg/ha: Low,126.83 kg/ha: Low,12.39 ppm: Sufficient,1.54 ppm: Sufficient,-- ppm: ,16.18 ppm: Sufficient,1.17 ppm: Deficient,2.09 ppm: Sufficient
PB/2017-18/95526005/1,10-11-2017,6.50  Acre,Irrigated(Tube well),31.794910,74.677920,8.53 : ,0.13 dS/m: ,0.34 %: Low,-- kg/ha: ,16.23 kg/ha: Low,126.83 kg/ha: Low,12.39 ppm: Sufficient,1.54 ppm: Sufficient,-- ppm: ,16.18 ppm: Sufficient,1.17 ppm: Deficient,2.09 ppm: Sufficient
PB/2017-18/106890544/2,05-06-2017,5.50  Acre,Irrigated(Tube well),31.894106,74.760054,8.61 : Strongly Alkaline,0.36 dS/m: Normal,0.29 %: Low,-- kg/ha: ,28.75 kg/ha: Medium,125.20 kg/ha: Low,116.40 ppm: Sufficient,2.93 ppm: Sufficient,-- ppm: ,24.11 ppm: Sufficient,0.47 ppm: Deficient,1.57 ppm: Sufficient
PB/2017-18/106890544/1,05-06-2017,7.00  Acre,Irrigated(Tube well),31.894106,74.760054,8.61 : Strongly Alkaline,0.36 dS/m: Normal,0.29 %: Low,-- kg/ha: ,28.75 kg/ha: Medium,125.20 kg/ha: Low,116.40 ppm: Sufficient,2.93 ppm: Sufficient,-- ppm: ,24.11 ppm: Sufficient,0.47 ppm: Deficient,1.57 ppm: Sufficient
PB/2017-18/106891907/2,05-06-2017,4.50  Acre,Irrigated(Tube well),31.894109,74.760053,8.28 : Moderately alkaline,0.24 dS/m: Normal,0.30 %: Low,-- kg/ha: ,10.14 kg/ha: Very Low,87.85 kg/ha: Low,26.79 ppm: Sufficient,0.88 ppm: Sufficient,-- ppm: ,6.53 ppm: Sufficient,0.35 ppm: Deficient,1.20 ppm: Sufficient
PB/2017-18/106891907/1,05-06-2017,8.00  Acre,Irrigated(Tube well),31.894109,74.760053,8.28 : Moderately alkaline,0.24 dS/m: Normal,0.30 %: Low,-- kg/ha: ,10.14 kg/ha: Very Low,87.85 kg/ha: Low,26.79 ppm: Sufficient,0.88 ppm: Sufficient,-- ppm: ,6.53 ppm: Sufficient,0.35 ppm: Deficient,1.20 ppm: Sufficient
PB/2017-18/106897146/2,05-06-2017,8.50  Acre,Irrigated(Tube well),31.898323,74.770385,8.17 : Moderately alkaline,0.39 dS/m: Normal,0.33 %: Low,-- kg/ha: ,18.71 kg/ha: Low,84.37 kg/ha: Low,96.60 ppm: Sufficient,1.00 ppm: Sufficient,-- ppm: ,5.95 ppm: Sufficient,0.40 ppm: Deficient,1.63 ppm: Sufficient
PB/2017-18/106897146/1,05-06-2017,4.00  Acre,Irrigated(Tube well),31.898323,74.770385,8.17 : Moderately alkaline,0.39 dS/m: Normal,0.33 %: Low,-- kg/ha: ,18.71 kg/ha: Low,84.37 kg/ha: Low,96.60 ppm: Sufficient,1.00 ppm: Sufficient,-- ppm: ,5.95 ppm: Sufficient,0.40 ppm: Deficient,1.63 ppm: Sufficient
PB/2017-18/106898196/2,05-06-2017,4.00  Acre,Irrigated(Tube well),31.898375,74.778037,8.40 : Moderately alkaline,0.28 dS/m: Normal,0.36 %: Low,-- kg/ha: ,10.63 kg/ha: Very Low,116.10 kg/ha: Low,111.20 ppm: Sufficient,1.01 ppm: Sufficient,-- ppm: ,5.31 ppm: Sufficient,0.32 ppm: Deficient,1.86 ppm: Sufficient
PB/2017-18/106898196/3,05-06-2017,4.50  Acre,Irrigated(Tube well),31.898375,74.778037,8.40 : Moderately alkaline,0.28 dS/m: Normal,0.36 %: Low,-- kg/ha: ,10.63 kg/ha: Very Low,116.10 kg/ha: Low,111.20 ppm: Sufficient,1.01 ppm: Sufficient,-- ppm: ,5.31 ppm: Sufficient,0.32 ppm: Deficient,1.86 ppm: Sufficient
PB/2017-18/106898196/1,05-06-2017,4.00  Acre,Irrigated(Tube well),31.898375,74.778037,8.40 : Moderately alkaline,0.28 dS/m: Normal,0.36 %: Low,-- kg/ha: ,10.63 kg/ha: Very Low,116.10 kg/ha: Low,111.20 ppm: Sufficient,1.01 ppm: Sufficient,-- ppm: ,5.31 ppm: Sufficient,0.32 ppm: Deficient,1.86 ppm: Sufficient
PB/2017-18/106898809/2,05-06-2017,9.50  Acre,Irrigated(Tube well),31.898177,74.765659,8.10 : Moderately alkaline,0.31 dS/m: Normal,0.39 %: Low,-- kg/ha: ,10.49 kg/ha: Very Low,91.93 kg/ha: Low,84.16 ppm: Sufficient,1.01 ppm: Sufficient,-- ppm: ,7.68 ppm: Sufficient,0.41 ppm: Deficient,1.66 ppm: Sufficient
PB/2017-18/106898809/1,05-06-2017,3.00  Acre,Irrigated(Tube well),31.898177,74.765659,8.10 : Moderately alkaline,0.31 dS/m: Normal,0.39 %: Low,-- kg/ha: ,10.49 kg/ha: Very Low,91.93 kg/ha: Low,84.16 ppm: Sufficient,1.01 ppm: Sufficient,-- ppm: ,7.68 ppm: Sufficient,0.41 ppm: Deficient,1.66 ppm: Sufficient
PB/2017-18/106899352/2,05-06-2017,4.50  Acre,Irrigated(Tube well),31.898123,74.763236,8.50 : Moderately alkaline,0.36 dS/m: Normal,0.42 %: Low,-- kg/ha: ,13.44 kg/ha: Low,77.09 kg/ha: Low,39.92 ppm: Sufficient,1.93 ppm: Sufficient,-- ppm: ,7.21 ppm: Sufficient,0.31 ppm: Deficient,1.93 ppm: Sufficient
PB/2017-18/106899352/1,05-06-2017,8.00  Acre,Irrigated(Tube well),31.898123,74.763236,8.50 : Moderately alkaline,0.36 dS/m: Normal,0.42 %: Low,-- kg/ha: ,13.44 kg/ha: Low,77.09 kg/ha: Low,39.92 ppm: Sufficient,1.93 ppm: Sufficient,-- ppm: ,7.21 ppm: Sufficient,0.31 ppm: Deficient,1.93 ppm: Sufficient
PB/2017-18/106899716/2,05-06-2017,9.00  Acre,Irrigated(Tube well),31.898123,74.763236,8.69 : Strongly Alkaline,0.31 dS/m: Normal,0.33 %: Low,-- kg/ha: ,8.20 kg/ha: Very Low,80.94 kg/ha: Low,69.24 ppm: Sufficient,1.48 ppm: Sufficient,-- ppm: ,5.96 ppm: Sufficient,0.39 ppm: Deficient,1.62 ppm: Sufficient
PB/2017-18/106899716/1,05-06-2017,3.50  Acre,Irrigated(Tube well),31.898123,74.763236,8.69 : Strongly Alkaline,0.31 dS/m: Normal,0.33 %: Low,-- kg/ha: ,8.20 kg/ha: Very Low,80.94 kg/ha: Low,69.24 ppm: Sufficient,1.48 ppm: Sufficient,-- ppm: ,5.96 ppm: Sufficient,0.39 ppm: Deficient,1.62 ppm: Sufficient
PB/2017-18/106900122/2,05-06-2017,8.50  Acre,Irrigated(Tube well),31.893838,74.763861,7.94 : Moderately alkaline,0.26 dS/m: Normal,0.37 %: Low,-- kg/ha: ,17.69 kg/ha: Low,82.83 kg/ha: Low,34.43 ppm: Sufficient,1.07 ppm: Sufficient,-- ppm: ,5.92 ppm: Sufficient,0.40 ppm: Deficient,1.63 ppm: Sufficient
PB/2017-18/106900122/1,05-06-2017,4.00  Acre,Irrigated(Tube well),31.893838,74.763861,7.94 : Moderately alkaline,0.26 dS/m: Normal,0.37 %: Low,-- kg/ha: ,17.69 kg/ha: Low,82.83 kg/ha: Low,34.43 ppm: Sufficient,1.07 ppm: Sufficient,-- ppm: ,5.92 ppm: Sufficient,0.40 ppm: Deficient,1.63 ppm: Sufficient
PB/2017-18/106900750/2,05-06-2017,8.00  Acre,Irrigated(Tube well),31.892764,74.766660,7.88 : Moderately alkaline,0.15 dS/m: Normal,0.29 %: Low,-- kg/ha: ,20.26 kg/ha: Low,47.30 kg/ha: Very Low,94.30 ppm: Sufficient,0.65 ppm: Sufficient,-- ppm: ,5.83 ppm: Sufficient,0.36 ppm: Deficient,0.66 ppm: Sufficient
PB/2017-18/106900750/1,05-06-2017,4.50  Acre,Irrigated(Tube well),31.892764,74.766660,7.88 : Moderately alkaline,0.15 dS/m: Normal,0.29 %: Low,-- kg/ha: ,20.26 kg/ha: Low,47.30 kg/ha: Very Low,94.30 ppm: Sufficient,0.65 ppm: Sufficient,-- ppm: ,5.83 ppm: Sufficient,0.36 ppm: Deficient,0.66 ppm: Sufficient
PB/2017-18/106901123/2,05-06-2017,4.00  Acre,Irrigated(Tube well),31.892766,74.766599,8.10 : Moderately alkaline,0.24 dS/m: Normal,0.45 %: Low,-- kg/ha: ,21.17 kg/ha: Low,145.40 kg/ha: Medium,52.07 ppm: Sufficient,1.33 ppm: Sufficient,-- ppm: ,6.69 ppm: Sufficient,0.37 ppm: Deficient,1.20 ppm: Sufficient
PB/2017-18/106901123/3,05-06-2017,4.50  Acre,Irrigated(Tube well),31.892766,74.766599,8.10 : Moderately alkaline,0.24 dS/m: Normal,0.45 %: Low,-- kg/ha: ,21.17 kg/ha: Low,145.40 kg/ha: Medium,52.07 ppm: Sufficient,1.33 ppm: Sufficient,-- ppm: ,6.69 ppm: Sufficient,0.37 ppm: Deficient,1.20 ppm: Sufficient
PB/2017-18/106901123/1,05-06-2017,4.00  Acre,Irrigated(Tube well),31.892766,74.766599,8.10 : Moderately alkaline,0.24 dS/m: Normal,0.45 %: Low,-- kg/ha: ,21.17 kg/ha: Low,145.40 kg/ha: Medium,52.07 ppm: Sufficient,1.33 ppm: Sufficient,-- ppm: ,6.69 ppm: Sufficient,0.37 ppm: Deficient,1.20 ppm: Sufficient
PB/2017-18/106901617/2,05-06-2017,9.50  Acre,Irrigated(Tube well),31.893541,74.769296,8.20 : Moderately alkaline,0.20 dS/m: Normal,0.49 %: Low,-- kg/ha: ,12.46 kg/ha: Low,80.52 kg/ha: Low,47.52 ppm: Sufficient,1.12 ppm: Sufficient,-- ppm: ,11.69 ppm: Sufficient,0.33 ppm: Deficient,1.48 ppm: Sufficient
PB/2017-18/106901617/1,05-06-2017,3.00  Acre,Irrigated(Tube well),31.893541,74.769296,8.20 : Moderately alkaline,0.20 dS/m: Normal,0.49 %: Low,-- kg/ha: ,12.46 kg/ha: Low,80.52 kg/ha: Low,47.52 ppm: Sufficient,1.12 ppm: Sufficient,-- ppm: ,11.69 ppm: Sufficient,0.33 ppm: Deficient,1.48 ppm: Sufficient
PB/2017-18/106901986/2,05-06-2017,10.50  Acre,Irrigated(Tube well),31.893240,74.772124,8.42 : Moderately alkaline,0.24 dS/m: Normal,0.30 %: Low,-- kg/ha: ,16.57 kg/ha: Low,73.35 kg/ha: Low,36.97 ppm: Sufficient,1.44 ppm: Sufficient,-- ppm: ,5.74 ppm: Sufficient,0.25 ppm: Deficient,1.12 ppm: Sufficient
PB/2017-18/106901986/1,05-06-2017,2.00  Acre,Irrigated(Tube well),31.893240,74.772124,8.42 : Moderately alkaline,0.24 dS/m: Normal,0.30 %: Low,-- kg/ha: ,16.57 kg/ha: Low,73.35 kg/ha: Low,36.97 ppm: Sufficient,1.44 ppm: Sufficient,-- ppm: ,5.74 ppm: Sufficient,0.25 ppm: Deficient,1.12 ppm: Sufficient
PB/2017-18/106908182/2,05-06-2017,7.00  Acre,Irrigated(Tube well),31.893206,74.774235,8.13 : Moderately alkaline,0.19 dS/m: Normal,0.45 %: Low,-- kg/ha: ,11.65 kg/ha: Low,246.70 kg/ha: Medium,54.22 ppm: Sufficient,1.13 ppm: Sufficient,-- ppm: ,6.73 ppm: Sufficient,0.41 ppm: Deficient,1.44 ppm: Sufficient
PB/2017-18/106908182/1,05-06-2017,5.50  Acre,Irrigated(Tube well),31.893206,74.774235,8.13 : Moderately alkaline,0.19 dS/m: Normal,0.45 %: Low,-- kg/ha: ,11.65 kg/ha: Low,246.70 kg/ha: Medium,54.22 ppm: Sufficient,1.13 ppm: Sufficient,-- ppm: ,6.73 ppm: Sufficient,0.41 ppm: Deficient,1.44 ppm: Sufficient
PB/2017-18/106909338/2,05-06-2017,6.00  Acre,Irrigated(Tube well),31.893277,74.776549,7.99 : Moderately alkaline,0.26 dS/m: Normal,0.42 %: Low,-- kg/ha: ,10.82 kg/ha: Very Low,85.38 kg/ha: Low,53.98 ppm: Sufficient,1.06 ppm: Sufficient,-- ppm: ,6.54 ppm: Sufficient,0.40 ppm: Deficient,1.18 ppm: Sufficient
PB/2017-18/106909338/1,05-06-2017,6.50  Acre,Irrigated(Tube well),31.893277,74.776549,7.99 : Moderately alkaline,0.26 dS/m: Normal,0.42 %: Low,-- kg/ha: ,10.82 kg/ha: Very Low,85.38 kg/ha: Low,53.98 ppm: Sufficient,1.06 ppm: Sufficient,-- ppm: ,6.54 ppm: Sufficient,0.40 ppm: Deficient,1.18 ppm: Sufficient
PB/2017-18/106909602/2,05-06-2017,8.50  Acre,Irrigated(Tube well),31.895578,74.776233,8.02 : Moderately alkaline,0.36 dS/m: Normal,0.46 %: Low,-- kg/ha: ,7.73 kg/ha: Very Low,73.68 kg/ha: Low,33.26 ppm: Sufficient,1.66 ppm: Sufficient,-- ppm: ,9.66 ppm: Sufficient,0.44 ppm: Deficient,1.58 ppm: Sufficient
PB/2017-18/106909602/1,05-06-2017,4.00  Acre,Irrigated(Tube well),31.895578,74.776233,8.02 : Moderately alkaline,0.36 dS/m: Normal,0.46 %: Low,-- kg/ha: ,7.73 kg/ha: Very Low,73.68 kg/ha: Low,33.26 ppm: Sufficient,1.66 ppm: Sufficient,-- ppm: ,9.66 ppm: Sufficient,0.44 ppm: Deficient,1.58 ppm: Sufficient
PB/2017-18/106909884/2,05-06-2017,8.50  Acre,Irrigated(Tube well),31.895539,74.775077,8.70 : Strongly Alkaline,0.19 dS/m: Normal,0.29 %: Low,-- kg/ha: ,8.38 kg/ha: Very Low,97.47 kg/ha: Low,41.66 ppm: Sufficient,1.17 ppm: Sufficient,-- ppm: ,11.56 ppm: Sufficient,1.20 ppm: Deficient,1.87 ppm: Sufficient
