Ouery_Cleaned,Answer
sbout mite,Suggested: Dicofol 18.5 EC 25 ml/pump spray
fertilizetr dose,?????? (46-00-00) ???? 8 ?? 10 ???? /???? 30 ????? ?????? ????? ??
pink bollwormsuggested deltamethrin ec triazophos ec ml pump spray st round pink bollwormsuggested deltamethrin ec triazophos ec ml pump spray st round pink bollworm,Suggested: Lambda cyhalothrin 5 EC 30  ml/pump spray ( 2nd round )
sucking pests problem suggested,Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips]
vegetative growth,I suggested spray humic acid 20 gm /pump
milybug,I suggested profenofos 25 ml in 1 pump
chili thrips,suggest: spray fipronil 15ml/pump
flower drop problem,suggest: boom flower 20 ml/pump sprey for flower drop
mealbug,I suggested to spray tyrzophos 30 ml/pump
mite jasside,Suggested: Thiamethoxam 25% WG / 70% WS 6 gram +  Dicofol 18.5 EC 25 ml +DDVP 5 ml / pamp spre
sucking pests problem mealy bug,Suggested: ImiSuggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ] dacloprid 17.8% s.l. 5 ml/pump  spray
sucking pests problem,pump spray [Suitable for young crops
pan kathiri,Suggested: Dicofol 18.5 EC 25 ml/pump spray
weediside,sugg to targa supar 25 ml/pump spray
termite problem,suggest: chloropyriphose 25 ml/pumpsuggest: fipronil 25 ml/pump sprey
groundnut white grub problem,I suggested chlorophyriphos 35ml/15 lit water in soil application
sucking pest ground nut,I suggested to spray dimethoat 15 ml/pump for sucking pest in ground nut
activation market price,Request has been submitted
wilt dieseas,mancozeb 25 gram per pump and to spray.
white fly informationsuggested acetamiprid sp pride ekka gram pump spray,Suggested: Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spray
leaves curl,I suggested trijofos 15 mili in 10 litre of water
melybug,suggest:sprey tryzophose 25 ml/pump
sucking pests problem cropsuggested,Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]
larve,quinalfos 35 ml/pump
young coconut drop problem,Suggested: 5 ml NAA (Planofix) / pump spray
sucking pests problem sucking pests problem,Suggested: Monocrotophos 36% sc/ec/sl 20ml/pump spraySuggested: Acephate 75% sp 15 gram/pump spray
red leaf problem cottonask larvae,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: DDVP 5 ml + Cypermethrin 15 ml / pump spray
subsidy ikhedut registration,Suggested: Contact computer operator in gram panchayat or gram sevak
larval,Suggested: DDVP 5 ml + Quinalphos 25 ml /pump spray
larval problem,Suggested: DDVP 5 ml + Quinalphos 25 ml /pump spray
sucking pests problem white fly,Suggested: Monocrotophos 36% sc/ec/sl 20ml/pump spraySuggested: Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spray
variety,"Kidney bean (Vaal)Guj. Vaal-1, Pusa Early, Prolific15 oct - 15 nov"
sag papaya,"PapayaMadhubindu, Pusa Draft, Coimbtor-2July-August, Feb-March2500 plant/ha2 X 2 meter1 year40-50 kg/plant"
heliothese pink ball warm cottonask variety,"Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Cypermethrin 15 ml  /pump at flowering stageGHB 15, 235, 183, 526, 528"
redpan,SUGGESTED FOR MEGNESIUM SULPHATE 25 KG PER HACTER
pesticide without problem cropask sucking pests problem,Suggested: Don't use pesticides withou any disease or insectsSuggested: Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]
white fly larvae,Suggested: Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spraySuggested: DDVP 5 ml + Cypermethrin 15 ml / pump spray
cumin wilt,carbendezim 15 gm / 10 lit water
heliothis brinjal,carbofuran 3G 30 kg. per ha and to apply.
market price,I suggested 18001028767 call
wil,sugg to copar oxi cloraead 200 gm/vigha
flower problem regrowth,I suggested apply irrigation and fertilizer
abt sucking pest,Dimethoate 10 ml / 10 lit water
pink worm,sugg to indoksaakarb 14.5 sc 15 gram/pamp spre
pink ball warm problem,I suggested to spray quinalphos 30 ml./pump.
heavy infestation pink boll worm,I suggest crop rotation
market price sms,market price sms :Dial 18001028767.
maturation boll problem,I suggested its depend on variety
maturation problem,I suggested its depend upon the variety its means long term variety mature late
heliothese,sugg to quinalphosh 30 ml/pamp spre
termite sorghume,I suggested drenching the cloropayriphosh 30 mili / 15 liter
black leaf,I suggested to spray carbandazim 25 gm/pump
fungus problem ground nut,suggest:bavistin 30 gm/pump dranching
flower dro,I suggested to sprey boom flower 30 ml/pump
infection weedicide,I suggested spraying urea 30 gram in 1 pump
larva problem iyal,suggest:cypermethrin 10 ml. per 10 liter water and to spray.
droping flowering,I suggested to spray boomflower 20 ml/pump
heloithis,i suggested to sprey prophenophos 30 ml/pump
sucking pest citton,I SUGGESTED TO SPRAY DIMETHOAT 15  ML/PUMP FOR CONTROL  SUCKING PEST IN CITTON
infection,SUGGESTED FOR 100 GRAM UREA PER PUMP
yellowing leaf,I suggested to give urea fertilizer
virus,suggest:imidachloropride 5 ml/pump
milibug problem,I SUGGESTED PROFENOPHOS 40 ML/PUMP
registration market price,Request has been submitted
sucing pest,I SUGESTED TO SPREY DIEMITHOAT 15 ML/PUMP
general informationsuggested provided thanks calling kisaan call center general informationsuggested provided thanks calling kisaan call center general,Suggested: All information provided - Thanks for calling in kisaan call center
heliothis,suggest: spray  quinalphose 20ml/pump
cut middle portion,SUGGESTED FOR THE FURADON ATHVA CHLOROPYRIPHOSE POWDER
larva conrol,I suggested to Corazon 5 ml/pump
white grub g nut,I suggested chlorpyriphos
khapede,SUGGESTED FOR FURADON POWDER  DUSTING
heliothish,sugg to mithaeal perathiyon 2% 2 kilo/vigha
viral,suggest:imidachloropride 5 ml/pump
groundnut wilt,sugg to carbendezim 15 gm / 10 lit water
reaction due weediside,suggested urea 100 gm/pump.
fopr caterpillar,I suggested to sprey quinalphos 30 ml/pump
pinkbolworm,I suggested to sprey quinalphos 30 ml/pump
aboutin thirps,suggetsed propenpfos 30 ml pere pump
bollgard,I suggested to spry quanalphos 30 ml/pump
pre treatment,I suggested to apply pheromone prap
feropan trap,I suggested agro centre
fungus disase,sugg. to blue copper 40gm/pump
problem larvae,suggest:quinalphose 30 ml per pump and to spreysuggest:corazen 5 ml per pump and to sprey
pinl boll worm,I suggested to sprey  quinalphos 30 ml/pump
varity yield loss problem,"guj kapas sankar - 6,8,10,malika,bejdhan-2"
heliothis gnut,isuggested quinalphos 20 mili in 10 liter of water
reaction problem,I suggested 100 gm / pump use urea
white grub ground nut,I suggested to spray quinalphos 20 ml/pump for control white grub in ground nut
fertilizer spre pamp,sugg to uriya 100 gram /pamp spre
pheromone trap,I suggested to visit agriculture university.
groundnut clorochish,100 gm ferous sulfet+ 10  gm cytricacid /10 liter water &spray
intercropping,I suggested pulse crop
khapedi,i suggested to give  mithayal parathion powder
pink larvae,suggest:corazen 5 ml per pump and tosprey
groundnut heliothish,sugg to quinalphosh 30 mili/pamp spre
mealy bug related,suggested spray  monocrotophos 25 mili n  acephate 15 gram /pump
sucking insecticide problem,suggest:monocrotophose 25 ml+aecifet 15 gm/pump
pink bollworm heliothis,suggest: spray  quinalphose 20ml/pump
army warm problem,To spray quinalphos 30 ml.per pump.
grey leaves,I suggested defiency of magnesium and to spray that
larva problem cottton,suggest:quinalphose 30 ml per pump and to sprey
larva ground nut,I suggested to sptray quinalphos 20 ml/pump for control  larva in ground nut
ctton drying,I SUGGESTED TO SPREY CARBANDAZIM 25 GM/PUMP
reaction,I suggested 100 gm urea / pump spray in cotton
suking pest,I SUGGEST THAIMETHOZAM 5 GM/PUMP AND ACEFET 15 GRAM OR ACETAMIPRID 10 GRAM
red mite whitefly problem,I suggested to spray oberon 15 ml./pump.
leaf problem,I suggested to contact agriculture officer.
mites,I suggested to spray oomytics
angular leaf spot problem,I suggested to spray streptocyclin 1 gram + blue copper 60 gram 10 liter water.
fungus problm,I suggested to spray copper oxycholoride 40 gm/pump
informations,Suggested: Possibilities of rain in next 5 days
insect problem,suggest: monocrotophose 25 ml+aecifet 15 gm/pump
syucking pest,I suggested to sprey diemithoat 15 ml/pump
leaf reaction,I suggested to sprey urea 100 gm/pump
kukdva,suggested 100 gram urea in pump
white fly informaiton,Suggested: Thiamethoxam 25% WG / 70% WS (Actara) 6 gram/pump spray
guar molo,sugg to roger 30 mili/pamp sprey
kissan credit card,visit nearest nationalized bank.
irrigation application time,I suggested 8-10 day interval irrigation applye
termite nematod white grub informationsuggested chlorpyrifos ec ml pump drenching ml vigha water treatment ec,Suggested: Chlorpyrifos 50% + Cypermethrin 5% (Mix availabe in market) 250 ml/vigha water treatment
soil borne larva,I suggested to spray choloropyriphos 30 ml/pump
leaf effect,I suggested to spey urea 100 gm/pump
leafmanor,sugg to nim oil 40 mili/pamp spre
yelloeing,I SUGGESTED TO APPLY AMONIUM SULPHATE 10 KG/VINGHA
growth drip irrigation,I suggested to contact agronomist of drip irrigation company.
khpedi,SUGGESTED FOR FURADAN POWDER
sowing season,i suggested at june-july
spraying pesticide,suggested suitable pesticides for different pest of cotton
leaf become yellow colour,I suggested not apply irrigation in cotton.
agriculture application,I suggested to visit anand agricultural university.
abt ion variety,"Gujarat cotton hybrids-6,8"
fasal con,sugg to 1800 10 28 767
folidon powder quantity,I suggested to apply 20-25 kg/hacter with fertilizer
melabug,i suggested to sperey prophenophos 30 ml/pump
spodoptera,i suggested to spray quinalphos 30 ml.per pump.
tractor subcidi,I suggested to contact gram sevak.
open field weed,I suggested to use round up weedicide in open field.
chemical,I suggested to visit agro centre.
subcidy tractor,suggested 45000 or 40%
whitegrub protection,Suggested: Chlorpyrifos 20% e.c. 25 ml/10 kg seeds [ for termite and white grub protection ]
mealy bug informaitonsuggested,Triazophos 40 EC 30 ml/pump spray [ suitable for young
larvae white fly,Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ] Suggested: Cypermethrin 10EC 15 ml/pump spray
white fly sucking pests problem,Suggested: Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spraySuggested: Imidacloprid 17.8% s.l. 5 ml/pump  spray
fungus problem root crops,Suggested: Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
reaction pesticides weedicides,Suggested: Urea 100 gram/pump spray
sucking peest,Suggested: Profenofos 50% EC 25 ml/pump spray
larvae ec,Suggested: Cypermethrin 25EC 10 ml/pump spray
heliothese pink ball warm cottonask sucking pests problem,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stageSuggested: Imidacloprid 17.8% s.l. 5 ml/pump  spray
cottan crops,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
sucking pest informaiton,Suggested: Profenofos 50% EC 25 ml/pump spray
termite white grub,Suggested: Chlorpyrifos 20 EC 30 ml/pump drenching or 250 ml/vigha water treatment
fungus problem cropask sucking pest,Suggested: Mancozeb (M-45) 75% W.P. 35 gram/pump spray Suggested: Imidacloprid 17.8% s.l. 5 ml/pump  spray
sucking pests problem heliothese pink ball warm,Suggested: Profenofos 50% EC 25 ml/pump spraySuggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
fertilizzer,suggested for the need for the crop
abpout,Suggested: Quinalphos 25 EC 30 ml/pump spray
fertilizetr doseask fungus problem,Suggested: Urea (46-00-00) 8-10 kg/ha as top dressing applicationSuggested: Mancozeb (M-45) 75% W.P. 35 gram/pump spray
cottan,suggestion:ask about sucking pest control Suggested: Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young
sucking pests problem fungus problem,Suggested: Profenofos 50% EC 25 ml/pump spraySuggested: Carbendazim (Bavistin) 50% W.P. 20 gram/pump spray
heliothese pink ball warm cottonask general,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stageAsk about general information
fungas problem,Suggested: Mancozeb (M-45) 75% W.P. 35 gram/pump spray
pink,BOLLWORMSuggested: Deltamethrin  AND Triazophos 25 ml/pump spray
angular leaf spot cottonsuggested,Streptocyclin 1 gm + coper oxichloride (BlueCopper) 20 gm / pump spray
mealy bug informait,onSuggested: Triazophos 40 EC 40 ml/pump spray [ suitable for young crop ]
white fly white fly,Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ] Suggested: Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spray
heliothese pink ball warm fungus problem,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stagesuggest:mancozeb 75%w.p. 35 gm/pump
larva castor,I SUGEGSTED TO SPRAY QUINALPHOS 25 ML/PUMP FOR  LARVA IN CASTOR
larva problem crops,Suggested: DDVP 5 ml + Quinalphos 25 ml /pump spray
red,Suggested: Magnesium sulphate 100 gm/pump spray
larvae informationsuggested ddvp ml cypermethrin ml pump spray,Suggested: DDVP 5 ml + Cypermethrin 15 ml / pump spray ???????? 5 ???? + ???????????? 15 ???? / ??? ?????? ????? ?????? ????
mealy bug informaitonin crops,Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
yellowing fertilizer doseask drop problem,Suggested: 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spraySuggested: 19-19-19 fertilizer 100 gm/pump spraySuggested: Urea 100 gram/pump spray
pink boll worm inforation,sugg to thaayodikaarb 75 wp 45 gram ( larvin ) / pamp spre
drop,Suggested: 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
red leaf problem cottonask yellowing fertilizer dose,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: Urea 100 gram/pump spray Suggested: 19-19-19 fertilizer 100 gm/pump spray
fenugreek methi,Fenugreek (Methi)Guj. Methi - 1Oct-September20-25 kg/ha30 X 10 Cm110-120 Days2000 /ha
redness,I suggested to give magnesium sulphate for redness in cotton
yellowing seedlings,Suggested: mmonium sulphate
flowwering,I SUGEGSTED TO SPRAY BOOM FLOWER 30 GM /PUMP FOR FLOWWERING IN COTTON
flower drop problemask sucking pests problem,suggest:toboom flower 15 ml/pump spraySuggested: Profenofos 50% EC 25 ml/pump spray
fungus problem rootsuggested,(Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
fungus problem cropask sucking pests problem,Suggested: Mancozeb (M-45) 75% W.P. 35 gram/pump spray Suggested: Profenofos 50% EC 25 ml/pump spray
fungus problem rootask sucking pests problem,suggest:copperoxychloride(blue copper)40gm/pump drenching or 250gm/vigha with water treatmentSuggested: Profenofos 50% EC 25 ml/pump spray
fungus problem rootask red leaf problem,Suggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatmentSuggested: Magnesium sulphate 100 gm/pump spray
fertiluzer,suggested for the with drip
abot suking pest,Suggested: Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips]
larvae sucking pests problem,Suggested: Quinalphos 25 EC 25 ml/pump spraySuggested: Imidacloprid 17.8% s.l. 5 ml/pump  spray
kisan call center registrationrequested activation market,Your Registration has been done in kisan call  price information & Advisory message servicesYour request for market price activation and advisor messages has been submitedenter
fungus problem rootand whitefly problem,suggest:copperoxychloride(blue copper)40gm/pump drenching or 250gm/vigha with water treatment???????????? 20 SP (??????/?????) 5 ?????/??? ?????? ????
sucking pests problem fungus problem root,Suggested: Profenofos 50% EC 25 ml/pump spraySuggested: Fipronil 5 SC 25ml/pump spray [Final Control]Suggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
phosphate fertilizer,suggested for the use phosphate culture
fungus problem rootask drop problem,Suggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatmentSuggested: 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
suckingf pest,Suggested: Profenofos 50% EC 25 ml/pump spray
sucking pests problem flower drop problem,Suggested: Profenofos 50% EC 25 ml/pump spraysuggest:toboom flower 15 ml/pump spray
larvae sucking pestsask fungus problem root,Suggested: profenofos 40% + cypermethrin 4% (mix available in market) 15 ml/pump spraySuggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
white fly flower drop problemsuggested boom flower nitrobenzene ml pump spray,Suggested: Profenofos 50% EC 25 ml/pump sprayAsk about Flower Drop problemSuggested: Boom Flower (Nitrobenzene) 15 ml/pump spray
fungus problem root fertilizer apply,Suggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatmentfertilizer 19:19:19
sucking pests problem cropes,Suggested: Monocrotophos 36% sc/ec/sl 20ml/pump spray
fungush problem,suggested for the tricoderma viridi treatment
pink boll worm sucking pest,Suggested: Quinalphos 25 EC 30 ml/pump spraylarvae + sucking pests??????????? 40% + ???????????? 4% (????? ?????? ???? ??? ??????) 15 ????/??? ?????? ????
yellowish leaves,I suggested to spray 100 gm heerakasi + 10 gm limbuna ful /pump for  yellowish leaves in cotton
fungus problem cropask fungus problem root,suggest:mancozeb 75%w.p. 35 gm/pumpSuggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
increase flower initiation suggested,????????? (??????????????) 15 ????/??? ?????? ????
aask sucking pest,Suggested: Imidacloprid 17.8% s.l. 5 ml/pump  spray
fungus problem rootask enlarge fruit size,Suggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatmentSuggested: 13-00-45 fertilizer 100 gram/pump spray
red leaf problem cottonask fungus problem,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: Mancozeb (M-45) 75% W.P. 35 gram/pump spray
red leaf problem cottonsuggested,Magnesium sulphate 100 gm/pump spray
red leaf problem cottonask sucking pests problem,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]
sucing pest red leaf problem,Suggested: Profenofos 50% EC 25 ml/pump spraySuggested: Magnesium sulphate 100 gm/pump spray
wilt yellowing,Suggested: Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatmentSuggested: 19-19-19 fertilizer 100 gm/pump spray
yellowing fertilizer dosesuggested fertilizer gm pump spray,Suggested: Urea 100 gram/pump spray
drop problemask heliothese pink ball warm,Suggested: 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spraySuggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
mite redmite ant fungus problem root,Suggested: Dicofol 18.5 EC 25 ml/pump spraySuggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
fungus problem rootask flower drop problem,Suggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatmentSuggested: Boom Flower (Nitrobenzene) 15 ml/pump spray
red leaf problem cottonask white fly,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
fungus problem cropask drop problem,Suggested: Mancozeb (M-45) 75% W.P. 35 gram/pump spray Suggested: 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
heliothese pink ball warm groundnut,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
drop problemask larvae,Suggested: 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spraySuggested: Quinalphos 25 EC 30 ml/pump spray
sucking past,I suggested to spray dimethoat 15 ml/pump for sucking past in cotton
heliothese pink ball warm cottonstage,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering
white fly mite redmite ant,Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ] Suggested: Dicofol 18.5 EC 25 ml/pump spray
sucking pests problem fungus problem rootask red leaf problem,Suggested: Fipronil 5 SC 25ml/pump spray [Final Control]Suggested: Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips]Suggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatmentSuggested: Magnesium sulphate 100 gm/pump spray
heliothese pink ball warm cottonask mealy bug informaiton,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stageAsk about Mealy Bug control informaiton
larvae sucking pestsask purple leaf blochh onion,"Suggested: profenofos 40% + cypermethrin 4%  15 ml/pump spray, Suggested: Carbendazim (Bavistin) 50% W.P. 20 gram/pump spray"
aask larva cottonk,I SUGGESTED TO SPRAY QUINALPHOS 25 ML/PUMP FOR LARVA IN COTTONK
larvae sucking pests,Suggested: profenofos 40% + cypermethrin 4% (mix available in market) 15 ml/pump spray
fungus problem rootcotton,Suggested: Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
variety sowing timeask seedrate spacingask durationask yield,"CottonBT: Sankar- 8, 10 Bijdhan-2 June-July2.5-4 kg/ha120 X 60 Cm170-200 Days2500-4000 /haDeshi: Deshi - 7, 9, Guj. Cot. 11June-July10-15 kg/ha60 X 90 Cm210-220 Days1000-1500 /ha"
yellowing paddy seedlings,Suggested: Magnesium sulphate 250 gm/pump spray kyar dith
larvae sucking pests cropes,Suggested: profenofos 40% + cypermethrin 4% (mix available in market) 15 ml/pump spray
larvae cropes,Suggested: Cypermethrin 10EC 15 ml/pump spray
heliothese pink ball warm cottonask increase flower initiation,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stageSuggested: Boom Flower (Nitrobenzene) 15 ml/pump spray
castor,"GCH-7, 4, 5, 1"
irrigation,suggest: as per requiremwnt
flower dropin crops larvae,Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spraySuggested: Coragen 18.5 SC 5ml/pump spray [ final solution ]
wilt inn,I suggested to drenching blue copper 40 gm /pump for wilt inn cotton
mealy bug crops increase flowering tomato,Suggested: Profenofos 50% EC 25 ml/pump sSuggested:Ask for increase the flower initiation in crop Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spraypray
larvae informationsuggested cypermethrin ec ml pump spray ec,Suggested: Cypermethrin 10EC 15 ml/pump spray
fungus problem rootask red leaf problem cottonask increase flower initiation,Suggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatmentSuggested: Magnesium sulphate 100 gm/pump spraySuggested: Boom Flower (Nitrobenzene) 15 ml/pump spray
yellowing problem,Suggested: 19-19-19 fertilizer 100 gm/pump spray
pink bolloworm,Suggested: DDVP 5 ml + Quinalphos 25 ml /pump spray
yellowish,suggested ammonium sulphate fertilizer
yellowing fertilizer doseask angular leaf spot,Suggested: 19-19-19 fertilizer 100 gm/pump spraySuggested: Streptocyclin 1 gm + coper oxichloride (BlueCopper) 20 gm / pump spray
sucking nd larvae,Suggested: profenofos 40% + cypermethrin 4% (mix available in market) 15 ml/pump spray
yellowing fertilizer dose enlarge fruit size,Suggested: Urea 100 gram/pump spraySuggested: 19-19-19 fertilizer 100 gm/pump spraySuggested: Potash fertilizer 100 gram/pump spraySuggested: 13-00-45 fertilizer 100 gram/pump spray
flower dropsuggested,: Boom Flower (Nitrobenzene) 15 ml/pump spray
abot,Suggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
flower drop problemsuggested,Boom Flower (Nitrobenzene) 15 ml/pump spray
sucking pests problem larva problem,Suggested: Profenofos 50% EC 25 ml/pump spraySuggested: Quinalphos 25 EC 30 ml/pump spray
white fly fungus problem,Suggested: Profenofos 50% EC 25 ml/pump spraySuggested: Mancozeb (M-45) 75% W.P. 35 gram/pump spray
fungus problem rootin cropes,Suggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
fungus problem root cropes,Suggested: Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
fungus problem rootdhana varity,Suggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatmentSuggested: Urea 100 gram/pump spraygujrat dhana 1
cpoton,Suggested: Quinalphos 25% e.c. 25 ml/10 kg seeds [ for termite and white grub protection ]
sucking pest fungus problem,ASK ABOUT SUCKING PEST CONTROLsuggest:mancozeb 75%w.p. 35 gm/pump
flower drop problem red leaf problem,"Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spray  , Suggested: Magnesium sulphate 100 gm/pump spray"
sucking pests problem sucking pests problem fungus problem root,Suggested: Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips]Suggested: Profenofos 50% EC 25 ml/pump spraySuggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
yellowing fertilizer dosesuggested,19-19-19 fertilizer 100 gm/pump spray
fungus problem rootask increase flower initiation,Suggested: COPPER OXYCLORIDE (BLUE COPPER) 50% W.P. 40 gram/pump drenching OR 250 gram/vigha water treatmentSuggested: COPPER OXYCLORIDE (BLUE COPPER) 50% W.P. 40 gram/pump drenching OR 250 gram/vigha water treatmentSuggested: Boom Flower (Nitrobenzene) 15 ml/pump spray
sucing pest cropes,Suggested: Monocrotophos 36% sc/ec/sl 20ml/pump spray
weed white fly,Suggested: Pendimethalin 38.7 CS (Stomp) 35ml/pump spray Suggested: Profenofos 50% EC 25 ml/pump spray
red leaf problem cottonask mealy bug informaiton,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: Profenofos 50% EC 25 ml/pump spray
red leaf fungus problem rootproblem,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
drop problemask sucking pests problem,Suggested: 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spraySuggested: Profenofos 50% EC 25 ml/pump spray
redness leaves,I suggested to give magnesium sulphate for redness leaves in cotton
sucking pests problem suggested spinosad sc tracer ml pump spray thrips sc,Suggested: Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips]????????? 45 SC (??????) 5 ????/??? ?????? ???? [??????? ????]
male flower formation,I suggested to transfer the call to universities
pest,Suggested: Dicofol 18.5 EC 25 ml/pump spraySuggested: Ethion 50% EC 15 ml/pump spray
white fly informa,Suggested: Profenofos 50% EC 25 ml/pump spray
redmite,suggest:ethiyon 15 ml/pump sprey
pheroman trap,Suggest: put 2-3 pheroman trap per Vige
sucking larva,I suggested to spray cypermentrin + tryzophos 20-25 ml/pump
sucking pests problem red leaf problem,Suggested: Fipronil 5 SC 25ml/pump spray [Final Control]Suggested: Magnesium sulphate 100 gm/pump spray
mealy bug drop problem,Suggested: Profenofos 50% EC 25 ml/pump spraySuggested: 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
problem ion,Suggested: Imidacloprid 17.8% s.l. 5 ml/pump  spraySuggested: Monocrotophos 36% sc/ec/sl 20ml/pump spraySuggested: Acephate 75% sp 15 gram/pump spray
mealy bug informationsuggested,Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
chili white fly,suggest: spray tryjophose 20ml/pump
fro mealy bug problem,Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ] Suggested: Profenofos 50% EC 25 ml/pump spray
white fly mealy bug,suggest: spray tryjophose 20ml/pump
vask sucking pest,suggest:dia methote 10 ml/ 10 lit. water
white fiy,SUGGEST:TO TRIZOPHOS 25 ML /PUMP SPRAY
abouut black boll,SUGGEST: TO PLANOFAX 5 ML/PUMP
