Season,Sector,Category,Crop,QueryType,Query,Answer,State,District,Block,DateTime
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of leaf eating caterpillar ?,spray fame 5 ml / 15 liter water,MAHARASHTRA,NANDED,HADGAON,2015-09-09 17:26:53.497
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,wwhite fly on cotton,WWHITE FLY ON COTTON  - POLO SPRAY,MAHARASHTRA,NANDED,BHOKAR,2015-09-09 21:53:19.947
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,control  of sucking pest attack ?,spraying of actra + karate,MAHARASHTRA,NANDED,HADGAON,2015-09-10 15:43:02.343
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for white fly attack on cotton?,white fly attack on cotton==-Spray Ullala 8 gm+ redomill gold 30 gram /15 Lit of Water(flonicamid)-UPL,MAHARASHTRA,NANDED,KINWAT,2015-09-11 06:43:20.663
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,plant protection .,spraying of taba,MAHARASHTRA,NANDED,BILOLI,2015-09-11 14:14:02.430
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton leaf curl ?,Spray Actra 5 gm + m 45 30 gm + microlla  30 ml/15 Lit of Water.,MAHARASHTRA,NANDED,HIMAYATNAGAR,2015-09-11 19:18:03.100
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,control of white fly,spraying of asataf 15 gm / 15 liter water,MAHARASHTRA,NANDED,NAIGAON (KH),2015-09-11 20:05:37.947
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,to control dropping of flower in cotton crop,SPRAY PLANOFIX 5 ML WITH BORAX 30 GM IN 15 LTR OF WATER TO CONTROL DROPPING OF FLOWER IN COTTON CROP,MAHARASHTRA,NANDED,LOHA,2015-09-12 10:45:54.117
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about sucking pest attack and reddning on cotton,SPRAY MAGNESIUM SULPHATE 60 GM + 00:52:34 60 gm +bavistin 30 gm / 15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE,MAHARASHTRA,NANDED,LOHA,2015-09-12 14:34:47.000
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about redding in cotton,spray rijent 30 mili+ magnesium sulphate /pamp water,MAHARASHTRA,NANDED,BHOKAR,2015-09-13 19:23:14.760
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,powdery mildew attack ? fungus attack ?,Spray Profex Super 30 ml / 15 lit of water.,MAHARASHTRA,NANDED,BHOKAR,2015-09-14 09:39:54.870
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,catter piller attack on cotton ?,CATTER PILLER ATTACK ON COTTON - Spray Tracer 30 ml / 15 lit of water,MAHARASHTRA,NANDED,NAIGAON (KH),2015-09-14 14:33:19.467
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about  reddning on cotton,SPRAY MAGNESIUM SULPHATE 70 GM + Oberon 15ml /15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE,MAHARASHTRA,NANDED,LOHA,2015-09-14 15:58:09.560
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,red leaves of cotton -?,SPRAY MAGNESIUM SULPHATE 80 GM + UREA 100 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE,MAHARASHTRA,NANDED,MAHUR,2015-09-15 08:04:22.053
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,dropping of flower cotton crop?,?????? ????? 5 ???? 15 ???? ??????? ?????? ?????,MAHARASHTRA,NANDED,NANDED,2015-09-15 15:25:14.513
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,flower growth ?,Spray Boom flower 20ml(DeviCropscience)/15 liter of Water.,MAHARASHTRA,NANDED,HIMAYATNAGAR,2015-09-15 15:51:03.600
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,redning in cott0n,Apply MAGNESIUM SULPHATE 10 KG/ACRE.,MAHARASHTRA,NANDED,HADGAON,2015-09-16 11:15:13.060
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,"attack of aphids, jassid and white fly attack in cotton",Spray Pride 10 gm /15 liter of water(Acetamapride 20SP)-Dow agro,MAHARASHTRA,NANDED,UMRI,2015-09-16 16:13:28.397
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for catterpills attack on cotton =?,Spray Quinalphos (20 % AF) 22 ml +-m-45 30 gram /15 liter of water,MAHARASHTRA,NANDED,HIMAYATNAGAR,2015-09-17 06:58:16.887
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for blomming of cotton =?,BLOMMING OF COTTON = Spray Boom flower 20ml(DeviCropscience)/15 liter of Water.,MAHARASHTRA,NANDED,ARDHAPUR,2015-09-17 07:44:52.753
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,redning ? sucking pest attack on cotoon ?,magnesium sulphate 100 gram / liter water . Spray Actra 5 gm  /15 Lit of Water.,MAHARASHTRA,NANDED,LOHA,2015-09-17 13:26:21.497
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked information about cotton - fertilizer dose for growth,fertilizer dose for growth - spray 0:52:34  60gm + microlla 30ml / 15lit of water,MAHARASHTRA,NANDED,NAIGAON (KH),2015-09-17 13:33:49.267
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for flower drop of cotton ?,flower drop of cotton==-SPRAY PLANOFIX 5 ML(Bayer)+ 00:52:34 60 GM/15 LITER WATER,MAHARASHTRA,NANDED,UMRI,2015-09-19 08:12:54.957
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked fofr red leaf of cotton ?,Spray 80gram magneshium sulphate+zn sulphate 20gram +100 gram urea  in 15 lit water,MAHARASHTRA,NANDED,KINWAT,2015-09-19 12:14:00.417
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,leaf drop on cotton?,Spray Plano fix 5ml/15 Lit of Water.,MAHARASHTRA,NANDED,HADGAON,2015-09-19 15:31:58.483
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of karpa on leaf??,spray blue copper 40 gram + microlla 30 mili in 15 lit of water,MAHARASHTRA,NANDED,KANDHAR,2015-09-20 09:12:58.057
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,ask about flower drop in cotton?,SPRAY PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER.,MAHARASHTRA,NANDED,KANDHAR,2015-09-20 16:10:24.773
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about weather information ?.,partly cloudy & possiblity of light rain,MAHARASHTRA,NANDED,MOKHED,2015-09-21 11:16:35.940
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of  downy or blight  ?,Spray Antracol  25 gm/15 Liter of Water(Propineb)-Bayer,MAHARASHTRA,NANDED,LOHA,2015-09-21 16:13:09.300
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for leaf eating catterpillrs-?,LEAF EATING CATTERPILLRS=-Spray Quinalphos (20 % AF) 22 ml + RDOMILL GOLD 3 0 GRAM /15 liter of water,MAHARASHTRA,NANDED,HIMAYATNAGAR,2015-09-22 06:38:14.197
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,for bloosming in cotton?,Spray Boom flower 30ml/15 liter of Water.,MAHARASHTRA,NANDED,BILOLI,2015-09-22 17:09:35.790
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,fertlizer dose ?,spray mg sulphate 60 gm + DAP 200 GM / 15 LITAR WATER,MAHARASHTRA,NANDED,ARDHAPUR,2015-09-23 21:28:49.820
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,increase in flower rate?,Spray Boom flower 20ml/15lit of Water.,MAHARASHTRA,NANDED,HADGAON,2015-09-24 09:16:04.753
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,jassids attack ?,Spray Confidor super 10ml + Bavistine 30 grm/15 Lit of Water.,MAHARASHTRA,NANDED,MAHUR,2015-09-24 16:31:56.357
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,drenching for root groth of cotton=? ?,DRENCHING OF BLUE COPPER 40 GM + HUMIC ACID 40 ML/15 LITER WATER,MAHARASHTRA,NANDED,DHARMABAD,2015-09-26 12:00:15.183
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,aked for thrips attack on cotton  ?,Spray Jump 3 gm/15 Liter of Water(Fipronil 80 wg)-Bayer,MAHARASHTRA,NANDED,ARDHAPUR,2015-09-27 07:34:39.163
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,how to control fungal disease  in coton  ?,|RECOMMENDED  FOR SPRAY TO MENCOZEB + CARBENDAZIM 35-40 GRAM/PUMP,MAHARASHTRA,NANDED,DHARMABAD,2015-09-27 13:45:16.370
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,stem borer on jowar?,use thimate 2kilo/ekar,MAHARASHTRA,NANDED,LOHA,2015-09-27 15:17:29.340
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of  blight on cotton?,SPRAY M 45 30 GM /15 LITER WATER(mancozeb)Dow Agro,MAHARASHTRA,NANDED,NANDED,2015-09-29 15:09:37.523
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,reducing evapotranspiration of cotton plant,reducing evapotranspiration of cotton plant  -spray keolin 60 gm litre water.,MAHARASHTRA,NANDED,KANDHAR,2015-09-29 16:24:03.250
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,"asingb about attack of aphids,thrips and jassids in cotton ?",Spray - Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,MAHARASHTRA,NANDED,UMRI,2016-09-01 11:18:20.940
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,semi-looper  control in cotton  -,Spray acephate 75 SP @ 1 g/l or Profenophos 50 EC @ 2 ml/l,MAHARASHTRA,NANDED,KINWAT,2016-09-02 09:54:42.970
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asking about attack of thrips and jassids cotton ?,Spray - Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,MAHARASHTRA,NANDED,LOHA,2016-09-02 13:02:46.520
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,white fly and redening in cotton?,Spray Record  07 gm/ 15 liter of water(Acetamapride 20SP)-Dupond+REDDENING ON COTTON-SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE,MAHARASHTRA,NANDED,HIMAYATNAGAR,2016-09-02 16:26:36.640
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about attack of  white fly on cotton ?,for control of  white fly on cotton - Spray Pride 10 gm /15 liter of water (Acetamapride 20SP)-Dow agro,MAHARASHTRA,NANDED,MOKHED,2016-09-02 17:16:10.080
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of thrips  on cotton  ?,Attack of Thrips  ON COTTON  - SPRAY ACTARA 5 GM / 15 LITER WATER,MAHARASHTRA,NANDED,HADGAON,2016-09-03 16:05:14.010
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,white fly attack in cotton?,Spray Oberon 15 ml/15 Liter of Water(spiromesifen 20.9%)-Bayer,MAHARASHTRA,NANDED,KANDHAR,2016-09-03 19:00:13.873
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,how to control sucking pest in cotton crop?,Recommended for Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.,MAHARASHTRA,NANDED,NAIGAON (KH),2016-09-06 16:14:42.147
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,para wilt on cotton?,DRENCHING BAVISTIN 1 GRAM + HUMIC ASID 2 MILI +UREA 10 GRAM /LITER,MAHARASHTRA,NANDED,MODKHED,2016-09-06 16:26:50.487
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of thrip?,Spray rejent 30 ml/25 liter water.,MAHARASHTRA,NANDED,UMRI,2016-09-06 21:12:05.180
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,"aske about attack of aphids,thrips and jassids on cotton?","Attack of Aphids,Thrips and Jassids on cotton-Spray Regent 30 ml /15 liter water(Fipronil 5 SC)-Bayer",MAHARASHTRA,NANDED,KANDHAR,2016-09-07 11:00:57.727
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asking about reddening of cotton ?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE,MAHARASHTRA,NANDED,NAIGAON (KH),2016-09-08 11:40:31.407
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,farmer asked for attack of thrips on cotton?,thrips on cotton = Spray Ullala 10 gm/15 Lit of Water.,MAHARASHTRA,NANDED,KANDHAR,2016-09-11 12:03:27.427
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about attack of whitefly on cotton?,ATTACK OF WHITEFLY ON COTTON-Spray Ullala 8 gm/15 Lit of Water.(flonicamid)-UPL,MAHARASHTRA,NANDED,NAIGAON (KH),2016-09-12 12:30:47.120
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about attack of  thrips on cotton ?,for control of  thrips on cotton - spray admire - 5 gram / 15 litre water .,MAHARASHTRA,NANDED,HADGAON,2016-09-14 18:33:38.527
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about cotton leaf spot?,SPRAY MICROLA 30 ML + M 45 30 GM/15 LITER WATER,MAHARASHTRA,NANDED,HADGAON,2016-09-15 12:41:23.057
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,white fly attack on cotton ? ?,Spray Pegasus 25  gm/ 15 liter of water(Diafenthiuron)Syngenta,MAHARASHTRA,NANDED,HIMAYATNAGAR,2016-09-16 09:31:57.450
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about wilt attack in cotton ?,for control of wilt attack in cotton - Drenching Bavistine 30gm + Humic Acid 30ml/15 Lit of Water.,MAHARASHTRA,NANDED,NANDED,2016-09-17 17:30:47.170
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,bacterial blight on cotton?,Spray SAAF  22 gm/15 Liter of Water(Carbendazim 12%+Mancozeb 63%)-UPL,MAHARASHTRA,NANDED,KINWAT,2016-09-18 10:26:54.217
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,fruit borer control on tomato crop,you can spray proclem 10 gram /pamp water use for bollworm control on cotton crop,MAHARASHTRA,NANDED,HIMAYATNAGAR,2016-09-18 13:21:53.710
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about wilting of cotton  ?,wilting of cotton - drenching blue copper 2 gm / liter water,MAHARASHTRA,NANDED,ARDHAPUR,2016-09-18 16:37:03.517
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about leaf spot on cotton?,Spray Bavistane 30 gm/15 Liter of Water(Carbandazin)-Basf,MAHARASHTRA,NANDED,KANDHAR,2016-09-19 07:27:40.850
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,"attack of aphids, thrips and jassids on cotton?",Spray super confidor 15 ml /15 liter of water(Imida 17.8 sl)-Bayer,MAHARASHTRA,NANDED,KINWAT,2016-09-19 14:33:29.643
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,alterneria leaf spot on cotton?,spray bavistin 1 gram /liter,MAHARASHTRA,NANDED,HIMAYATNAGAR,2016-09-21 16:31:47.287
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of thrips and jassids on coton?,Spray Actra 5 gm/15 Liter of Water (Thiomithoxom 25%)-Syngenta,MAHARASHTRA,NANDED,HADGAON,2016-09-22 16:39:19.623
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of sucking pest and fungal disease in cotton?,Spray Actra 5 gm + M-45 30gm/15 Lit of Water.,MAHARASHTRA,NANDED,DHARMABAD,2016-09-22 20:02:08.220
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of  wilt (mar)drenching in cotton ?,for control of  Wilt (Mar)Drenching in cotton  - Redomil Gold 30 gm+humic Acid 30 ml(Mephonaxon+mancozeb)syngnt,MAHARASHTRA,NANDED,NAIGAON (KH),2016-09-24 18:54:56.627
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of wilt in cotton ?redning in cotton?,Drenching Redomild gold 30 gm / in 15 lit of waterSPRAY MAGNESIUM SULPHATE 60 GM + DAP 300 GM/15 LITER WATER,MAHARASHTRA,NANDED,MOKHED,2016-09-25 12:22:10.857
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,blight attack on cotton  ?,Spray SAAF  30 gm/15 Liter of Water(Carbendazim 12%+Mancozeb 63%)-UPL,MAHARASHTRA,NANDED,KINWAT,2016-09-26 10:07:39.137
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about drenching on cotton ?,DRENCHING on cotton -DRENCHING OF BLUE COPPER 40 GM + HUMIC ACID 30 ML /15 LITER WATER,MAHARASHTRA,NANDED,DEGLUR,2016-09-27 15:42:39.633
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton drenching ?,Drenching of Blue Copper 40 gm + Humic Acid 30ml/15 Lit of Water,MAHARASHTRA,NANDED,BHOKAR,2016-09-27 18:25:48.367
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,flower drop cotton?,SPRAY PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER.,MAHARASHTRA,OSMANABAD,KALAMB,2015-09-03 11:10:19.890
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,wilting of jowar ?,DRENCHING DRENCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER,MAHARASHTRA,OSMANABAD,KALAMB,2015-09-20 10:41:01.373
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,ased about leaf drop in cotton?,Spray Plano fix 5ml/15 Lit of Water.,MAHARASHTRA,OSMANABAD,LOHARA,2015-09-24 17:45:09.067
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of root rot on cotton?,Drenching Bavistine 30 gm + Humic Acid 30 ml/15 Lit of Water,MAHARASHTRA,OSMANABAD,PARANDA,2016-09-18 11:13:28.777
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about attack of caterpillar  on tur ?,attack of Caterpillar  on tur- Spray Quinolphos 30 ml/15 liter of water.,MAHARASHTRA,OSMANABAD,TULJAPUR,2016-09-24 20:23:53.493
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for soyabean leaf eating catter pilrs-?,SOYABEAN LEAF EATING CATTER PILRS=-Spray Quinalphos (20 % AF) 22 ml/15 liter of water,MAHARASHTRA,LATUR,LATUR,2015-09-19 13:04:18.150
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,herbicides,Round UP 3 ml (Glyphosate)/ 1 liter of water liter-(Monsanto),MAHARASHTRA,LATUR,LATUR,2015-09-21 10:50:47.480
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about attack of blight and sucking pest  on cotton ?,for control  of blight and sucking pest  on cotton -Redomil Gold 30 GM +  Admire  5 gm /15 ???? ??????? ????? ?????? ?????.­­­.,MAHARASHTRA,LATUR,AHEMADPUR,2016-09-03 21:07:17.310
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of white fly on ?,Spray Karate 20 ml/15 Lit of Water.,MAHARASHTRA,BULDANA,NANDURA,2015-09-01 08:07:48.290
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,sucking pest? red leaves of cotton ?,Spray Actra 5 gm  /15 Lit of Water spray urea 200 gm + magnesium sulphate 60 gm / 15 liter water,MAHARASHTRA,BULDANA,LONAR,2015-09-01 10:40:56.667
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of white fly cotton ?,Spray Ullala 8 gm/15 Lit of Water(flonicamid)-UPL,MAHARASHTRA,BULDANA,SANGRAMPUR,2015-09-01 10:45:38.713
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack ofmealy bug?,Spray Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer,MAHARASHTRA,BULDANA,KHAMGAON,2015-09-01 17:04:55.583
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,control of mealy bug,Spray Nuwan 20 ml/ 15Lit of Water.,MAHARASHTRA,BULDANA,SANGRAMPUR,2015-09-01 17:46:13.227
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about attack of sucking pest and blight,Spray super bavistin 30 gm + confidor 10 ml /15 liter of water.,MAHARASHTRA,BULDANA,MOTALA,2015-09-02 13:54:51.337
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of thriphs on cotton  ?,SPRAY ADMIRE 4 GM / 15 LITRE OF WATER,MAHARASHTRA,BULDANA,BULDANA,2015-09-03 06:20:39.483
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about attack of caterpillar?,Spray Profex super 30 ml/15 liter water,MAHARASHTRA,BULDANA,SANGRAMPUR,2015-09-03 17:55:13.567
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asking about stop extra growth of cotton  ?,Spray Leocine 7 ml 0r 00:52:34 75 gram/15 liter of water.,MAHARASHTRA,BULDANA,JALGAONJAMOD,2015-09-06 08:25:32.453
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of thrips and jassidson cotton ?,Spray super confidor 10 ml+ M-45 30 GRAM  /15 liter water(Imida 17.8 sl)-Bayer,MAHARASHTRA,BULDANA,MALKAPUR,2015-09-06 09:41:45.177
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for cotton red leaf _?,COTTON RED LEAF=-mg sulphate 60 gm + DAP 200 gm +  microlla 30 ml / 15 litar waterSPRAY MAGNESIUM SULPHATE 60 GM + UREA 100 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE,MAHARASHTRA,BULDANA,MEHKAR,2015-09-06 17:59:41.933
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,leafcurl attack ?,Spray Redomil Gold 30gm + admire 5gm /15 Lit of Water spraying.,MAHARASHTRA,BULDANA,JALGAONJAMOD,2015-09-06 21:45:43.853
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for mealy bugs attack on cotton -?,mealy bugs attack on cotton ==-Spray super confidor 10 ml /15 liter water(Imida 17.8 sl)-Bayer,MAHARASHTRA,BULDANA,DEULGAON RAJA,2015-09-07 12:34:09.130
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,caterpiler attack,Spray Chloropyriphos 30ml/15 Lit of Water.,MAHARASHTRA,BULDANA,NANDURA,2015-09-07 17:12:18.067
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,reddning of cotton ?,magnesium sulphat 5 kg and zinc sulphate 5 kg.,MAHARASHTRA,BULDANA,KHAMGAON,2015-09-07 17:19:00.563
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for white fly attack on cotton ? -,WHITE FLY ATTACK ON COTTON =-Spray Ullala 8 gm+ M-45 30 GRAM + MICROLLA30 MILLI /15 Lit of Water(flonicamid)-UPL,MAHARASHTRA,BULDANA,MALKAPUR,2015-09-09 07:54:19.560
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,fruit dropping ?,Spray Boron 20gm/10lit of Water.,MAHARASHTRA,BULDANA,KHAMGAON,2015-09-10 10:59:02.870
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,flower and fruit devlopment?,spray boom flower 20 ml + 00:52:34 60 gm/15 liter water,MAHARASHTRA,BULDANA,MOTALA,2015-09-11 11:24:23.627
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,spaying dose,you can spray 12:61 for 100 gram +microla 40 gram /pamp water use for cotton,MAHARASHTRA,BULDANA,SINDKHEDRAJA,2015-09-11 14:54:47.073
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,maiily bug on cotton,MAIILY BUG ON COTTON  - NEAON 20 ML /15 LITER WATER SPRAY,MAHARASHTRA,BULDANA,MALKAPUR,2015-09-12 12:07:56.690
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about white fly and reddning on cotton,SPRAY MAGNESIUM SULPHATE 75 GM + Spray Oberon 15ml/15 Liter of Water,MAHARASHTRA,BULDANA,KHAMGAON,2015-09-12 16:56:11.167
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked for stem borer attak on cotton ?,STEM BORER ATTAK ON COTTON =-Spray Quinalphos (20 % AF) 22 ml + M-45 30 GRAM /15 liter of water,MAHARASHTRA,BULDANA,MOTALA,2015-09-13 08:44:02.117
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,flower drop in cotton?,SPRAY PLANO FIX 5 ML + 00:52:34 60 GM/15 LITER WATER,MAHARASHTRA,BULDANA,CHIKHLI,2015-09-13 14:14:49.387
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of thrips and jassids  on cotton ?,Spray Ullala 8 gm + m-45 -30 gram /15 Lit of Water(flonicamid)-UPL,MAHARASHTRA,BULDANA,JALGAONJAMOD,2015-09-14 09:59:45.507
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asking about the growth of cotton?,SPRAY MICROLLA 30 ML + 00:52:34 60 GM/15 LITER WATER.,MAHARASHTRA,BULDANA,SINDKHEDRAJA,2015-09-14 15:02:51.880
